title,year,role_weight,ww_gross_usd_m,budget_usd_m,gross_budget,source_note
Morbius,2022,lead,167.5,83,2.02,SlashFilm / trade budget band
Tron: Ares,2025,lead,142.2,220,0.65,Box Office Mojo WW; Deadline net budget
Masters of the Universe,2026,supporting,112,170,0.66,SlashFilm reported
House of Gucci,2021,ensemble,153,75,2.04,SlashFilm
Haunted Mansion,2023,ensemble,118,150,0.79,SlashFilm
The Little Things,2021,lead,31,30,1.03,SlashFilm; pandemic window
