url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart
http://www.billboard.com/charts/hot-100/1991-08-17,8/17/1991,21,Now That We Found Love,Heavy D & The Boyz,Now That We Found LoveHeavy D & The Boyz,1,23.0,21,8
http://www.billboard.com/charts/hot-100/1993-05-22,5/22/1993,21,Show Me Love,Robin S.,Show Me LoveRobin S.,1,23.0,21,8
http://www.billboard.com/charts/hot-100/1995-09-30,9/30/1995,21,Back For Good,Take That,Back For GoodTake That,1,23.0,21,8
http://www.billboard.com/charts/hot-100/1962-04-21,4/21/1962,21,She Can't Find Her Keys,Paul Petersen,She Can't Find Her KeysPaul Petersen,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1964-01-25,1/25/1964,21,Somewhere,The Tymes,SomewhereThe Tymes,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1969-08-16,8/16/1969,21,Choice Of Colors,The Impressions,Choice Of ColorsThe Impressions,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1979-09-15,9/15/1979,21,Cruel To Be Kind,Nick Lowe,Cruel To Be KindNick Lowe,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1980-05-03,5/3/1980,21,Stomp!,The Brothers Johnson,Stomp!The Brothers Johnson,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1982-01-09,1/9/1982,21,Shake It Up,The Cars,Shake It UpThe Cars,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1983-08-13,8/13/1983,21,Rock 'n' Roll Is King,Electric Light Orchestra,Rock 'n' Roll Is KingElectric Light Orchestra,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1983-09-03,9/3/1983,21,"Promises, Promises",Naked Eyes,"Promises, PromisesNaked Eyes",1,24.0,21,8
http://www.billboard.com/charts/hot-100/1984-10-20,10/20/1984,21,Swept Away,Diana Ross,Swept AwayDiana Ross,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1988-11-26,11/26/1988,21,Domino Dancing,Pet Shop Boys,Domino DancingPet Shop Boys,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1989-07-01,7/1/1989,21,Crazy About Her,Rod Stewart,Crazy About HerRod Stewart,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1990-09-15,9/15/1990,21,Can't Stop,After 7,Can't StopAfter 7,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1991-05-25,5/25/1991,21,Strike It Up,Black Box,Strike It UpBlack Box,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1994-04-23,4/23/1994,21,And Our Feelings,Babyface,And Our FeelingsBabyface,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1999-10-16,10/16/1999,21,Back At One,Brian McKnight,Back At OneBrian McKnight,1,24.0,21,8
http://www.billboard.com/charts/hot-100/2007-11-10,11/10/2007,21,Shawty Is A 10,The-Dream,Shawty Is A 10The-Dream,1,24.0,21,8
http://www.billboard.com/charts/hot-100/2008-08-30,8/30/2008,21,One Step At A Time,Jordin Sparks,One Step At A TimeJordin Sparks,1,24.0,21,8
http://www.billboard.com/charts/hot-100/1971-08-14,8/14/1971,21,Smiling Faces Sometimes,The Undisputed Truth,Smiling Faces SometimesThe Undisputed Truth,1,25.0,21,8
http://www.billboard.com/charts/hot-100/1977-10-15,10/15/1977,21,Surfin' USA,Leif Garrett,Surfin' USALeif Garrett,1,25.0,21,8
http://www.billboard.com/charts/hot-100/1980-02-09,2/9/1980,21,September Morn',Neil Diamond,September Morn'Neil Diamond,1,25.0,21,8
http://www.billboard.com/charts/hot-100/1982-06-19,6/19/1982,21,Any Day Now,Ronnie Milsap,Any Day NowRonnie Milsap,1,25.0,21,8
http://www.billboard.com/charts/hot-100/1987-05-23,5/23/1987,21,Day-In Day-Out,David Bowie,Day-In Day-OutDavid Bowie,1,25.0,21,8
http://www.billboard.com/charts/hot-100/1991-06-29,6/29/1991,21,A Better Love,Londonbeat,A Better LoveLondonbeat,1,25.0,21,8
http://www.billboard.com/charts/hot-100/1998-01-17,1/17/1998,21,"No, No, No",Destiny's Child,"No, No, NoDestiny's Child",1,25.0,21,8
http://www.billboard.com/charts/hot-100/1961-02-18,2/18/1961,21,Spanish Harlem,Ben E. King,Spanish HarlemBen E. King,1,26.0,21,8
http://www.billboard.com/charts/hot-100/1961-06-17,6/17/1961,21,Rama Lama Ding Dong,The Edsels,Rama Lama Ding DongThe Edsels,1,26.0,21,8
http://www.billboard.com/charts/hot-100/1972-04-22,4/22/1972,21,Suavecito,Malo,SuavecitoMalo,1,26.0,21,8
http://www.billboard.com/charts/hot-100/1978-01-21,1/21/1978,21,Desiree,Neil Diamond,DesireeNeil Diamond,1,26.0,21,8
http://www.billboard.com/charts/hot-100/1982-04-03,4/3/1982,21,Nobody Said It Was Easy (Lookin' For The Lights),Le Roux,Nobody Said It Was Easy (Lookin' For The Lights)Le Roux,1,26.0,21,8
