id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name,_art_year
131887,Entity,Entity,en,"In 1998, thirty four unidentified bodies were found in shallow graves in a remote Siberian forest. After subsequent investigations, no official explanation by the Russian authorities was ever offered about the circumstances of the deaths.","We may forget the past, but it never forgets us.",2012-10-24,/yJ8JEvh4OZG1lnuXxlxK9FhXFJm.jpg,3.823,33,4.7,0,0,87,Released,False,/3OBKTI3zQdpj9B5HJMElrXJ66YU.jpg,"Horror, Thriller",,,2012
38134,Vicious Lips,Vicious Lips,en,"Sometime in the distant future, a fledgling band gets an opportunity for a breakthrough, if they can make it in time to a faraway planet to perform in a very popular club.",They're Lost and Loose in Outer Space.,1987-02-01,/o1FXCkhdYn4OwD0TvIhtAeRuWj9.jpg,3.822,26,4.9,0,0,84,Released,False,/syAk28k87qt1GEWtQcRsib5Bt1A.jpg,"Comedy, Horror, Music, Science Fiction",,,1987
354125,Cold Moon,Cold Moon,en,"Cold Moon takes place in tiny Babylon, Fla., where the granddaughter of Clark’s character is murdered by a mysterious assailant, her body sunk into the black waters of the Styx River — the river where her parents disappeared from their boat a decade earlier. Suspicion falls on a duplicitous banker and his wealthy father, played by Stewart and Lloyd.",,2016-10-27,/2qbgaZothXrCMohpY7CzsMcZeMo.jpg,3.822,40,5.0,3200000,0,92,Released,False,/54HIQCwdMmbJU3ES3FDkiThWStU.jpg,"Crime, Drama, Horror, Mystery, Thriller",,,2016
83096,Ganja & Hess,Ganja & Hess,en,"After being stabbed with an ancient, germ-infested knife, a doctor finds himself with an insatiable desire for blood.",Some Marriages Are Made In Heaven. Others Are Made In Hell.,1973-04-20,/iRfFNBin9RgsOapel5Ejqlj5wFc.jpg,3.82,44,5.7,0,0,110,Released,False,/2BiBj49zY1mwj9rOMLkDMyPYpLs.jpg,"Drama, Fantasy, Horror",,,1973
31634,The Amazing Transparent Man,The Amazing Transparent Man,en,"An ex-major forces a scientist to develop a invisibility formula, with which he plans to create an invisible army and sell it to the highest bidder. However there are side effects to the formula.",Invisible and Deadly!,1960-02-01,/aOME46GMTef0rkseEi4phAo4gRf.jpg,3.818,39,3.8,0,0,57,Released,False,/4gpT7MxxzgglHHQCVhckHLgEJr3.jpg,"Horror, Science Fiction, Thriller",,,1960
42628,吸血鬼ゴケミドロ,"Goke, Body Snatcher from Hell",ja,The survivors of a plane crash in a remote area are attacked by blob-like alien creatures that turn their victims into blood-thirsty vampires.,A fiendish vampire from a strange world in outer space drains his victims' blood and turns them into weird corpses!,1968-08-14,/tjBZ1HdYBskrsRMacQHmmv9uQ2A.jpg,3.818,35,5.9,0,0,84,Released,False,/1gnEI2ZSutYj6xiqOoUIpguUtJD.jpg,"Horror, Science Fiction",,,1968
805104,"Hannibal Lecter, l'icône du mal par excellence","Hannibal Lecter, l'icône du mal par excellence",en,"Everyone knows his name. The novels on the life and crimes of Hannibal Lecter are a worldwide phenomenon, and so are the movies and the TV show. Not mentionning the parodies, the plays... and even a wine named after him! He has become an icon of evil, but also of intelligence and refinement. Let's look back on the incredible Hannibal Lecter phenomenon.",,2010-01-01,/ppy6RxVh4vAou9qmt3k99i43V7I.jpg,3.818,1,1.0,0,0,50,Released,False,,"Documentary, Horror",,,2010
45853,Séance,Séance,en,"Over Thanksgiving weekend, all but five students in an old Manhattan building that's now a college dormitory leave for home: staying on one floor are roommates Lauren, Melina, and Alison, plus her boyfriend Diego and Grant, a loner in a room down the hall. Lauren's been seeing things in her bathroom: a silent child of about six. Diego has written a paper on parapsychology, so he holds a séance with the disbelieving co-eds. Something goes awry, because bad things start to happen and the students' only defender is an aging campus cop named Syd. What's the silent ghostly girl's secret, and can Alison discover what's going on before it's too late?","5 college kids, one ghostly killer... you do the math.",2006-04-22,/u5BB5KRV10Lio9TmLCIB1aZHDBe.jpg,3.817,18,5.8,0,0,88,Released,False,,"Horror, Thriller",,,2006
104969,替天行道之殺兄,Brother of Darkness,cn,A criminal is terrorizing his family when he is in jail until then his brother gets enough.,,1994-01-01,/gHbiRThmg9XQEfjXL6z1aDWU7cv.jpg,3.817,4,3.3,0,0,84,Released,False,/kMvN92cVgxLX7XGjMpWm5IkNeW3.jpg,Horror,,,1994
52022,Subspecies 4: Bloodstorm,Subspecies 4: Bloodstorm,en,"Vampire fledgling Michelle Morgan has escaped the grasp of her master Radu Vladislas. Found by a woman named Ana, she is taken to a hospital where a doctor claims to be able to cure her vampirism. Radu, recovering from the near-death delivered by Michelle and her friends, travels to Bucharest to follow his fledgling. He visits the vampire Ash's stronghold. Ash and his protege Serena plot to destroy Radu and employ the help of the humans, Ana and the Doctor.",The night has fangs!,1998-12-08,/7RNHmna55pryTeUATrxQ0nFFj7p.jpg,3.816,28,5.4,0,0,85,Released,False,/kKdpwxPJwGrhTSuOZ6LCw0sCDfF.jpg,"Fantasy, Horror",103291.0,Subspecies Collection,1998
718558,Fried Barry,Fried Barry,en,"Barry is a drug-addled, abusive bastard who - after yet another bender - is abducted by aliens. Barry takes a backseat as an alien visitor assumes control of his body and takes it for a joyride through Cape Town. What follows is an onslaught of drugs, sex, and violence as our alien tourist enters the weird and wonderful world of humankind.",,2020-03-06,/qbfSEgfHjZIitMxjmhoLkV2eRbe.jpg,3.816,44,5.3,0,0,99,Released,False,/hYfm6bESA5cahGIOOD4gH0L4pQf.jpg,"Comedy, Horror, Science Fiction",,,2020
29342,The Bees,The Bees,en,"Corporate smuggling of South American killer bees into the United States results in huge swarms terrorizing the northern hemisphere. A small team of scientists work desperately to destroy the threat, but the bees soon mutate into a super-intelligent species that threatens the world.",They prey on HUMAN FLESH!,1978-11-01,/4H3odEasZuZKDimxDMUafm8T8a9.jpg,3.815,29,4.6,0,0,92,Released,False,/9s5ru1Xk3m35tDx57MdWELAfjt7.jpg,"Horror, Science Fiction, Thriller",,,1978
