number,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,_art_year
96,Fenix Rage,"Sep 24, 2014",14.99,"20,000 .. 50,000",Green Lava Studios,Reverb Triple XP,0.0,0.0,75.0,2014.0
99,Road Not Taken,"Aug 5, 2014",14.99,"20,000 .. 50,000",Spry Fox LLC,Spry Fox LLC,0.0,0.0,75.0,2014.0
103,TRI: Of Friendship and Madness,"Oct 9, 2014",14.99,"20,000 .. 50,000",Rat King Entertainment,Rat King Entertainment,0.0,0.0,74.0,2014.0
104,Shadows: Heretic Kingdoms,"Nov 20, 2014",39.99,"20,000 .. 50,000",Games Farm,Kalypso Media Digital,0.0,0.0,74.0,2014.0
105,Where is my Heart?,"May 29, 2014",7.99,"20,000 .. 50,000",Schulenburg Software,Die Gute Fabrik,0.0,0.0,74.0,2014.0
106,Particulars,"Nov 19, 2014",5.99,"20,000 .. 50,000",SeeThrough Studios,SeeThrough Studios,0.0,0.0,74.0,2014.0
117,Pier Solar and the Great Architects,"Sep 29, 2014",14.99,"20,000 .. 50,000",WaterMelon,WaterMelon,0.0,0.0,73.0,2014.0
129,Full Bore,"May 6, 2014",14.99,"20,000 .. 50,000",Whole Hog Games,Nkidu Games Inc.,0.0,0.0,72.0,2014.0
132,Qvadriga,"Jun 13, 2014",19.99,"20,000 .. 50,000",Turnopia,Slitherine Ltd.,0.0,0.0,72.0,2014.0
133,Qbeh-1: The Atlas Cube,"May 15, 2014",9.99,"20,000 .. 50,000",Liquid Flower,Digital Tribe,0.0,0.0,72.0,2014.0
135,MouseCraft,"Jul 8, 2014",9.99,"20,000 .. 50,000",Crunching Koalas,Crunching Koalas,0.0,0.0,72.0,2014.0
142,J.U.L.I.A.: Among the Stars,"Sep 12, 2014",19.99,"20,000 .. 50,000",CBE Software s.r.o.,CBE Software s.r.o.,0.0,0.0,71.0,2014.0
157,The Golf Club,"Aug 19, 2014",29.99,"20,000 .. 50,000",HB Studios,HB Studios,0.0,0.0,70.0,2014.0
162,Panzer Tactics HD,"May 22, 2014",9.99,"20,000 .. 50,000",Sproing,THQ Nordic,0.0,0.0,69.0,2014.0
170,Kromaia,"Oct 23, 2014",19.99,"20,000 .. 50,000",Kraken Empire,Rising Star Games,0.0,0.0,68.0,2014.0
174,A Golden Wake,"Oct 9, 2014",9.99,"20,000 .. 50,000",Grundislav Games,Wadjet Eye Games,0.0,0.0,68.0,2014.0
179,Metrocide,"Oct 20, 2014",12.99,"20,000 .. 50,000",Flat Earth Games,Flat Earth Games,0.0,0.0,68.0,2014.0
184,Runers,"Sep 2, 2014",9.99,"20,000 .. 50,000",LGK Games,Mastertronic,0.0,0.0,68.0,2014.0
190,Eschalon: Book III,"Feb 14, 2014",9.99,"20,000 .. 50,000",Basilisk Games,Basilisk Games,0.0,0.0,67.0,2014.0
202,Concursion,"Jun 6, 2014",4.99,"20,000 .. 50,000",Puuba,Puuba,0.0,0.0,66.0,2014.0
207,Memento Mori 2,"May 13, 2014",24.99,"20,000 .. 50,000",Centauri Production,Bohemia Interactive,0.0,0.0,65.0,2014.0
213,Unrest,"Jul 23, 2014",9.99,"20,000 .. 50,000",Pyrodactyl,Pyrodactyl,0.0,0.0,65.0,2014.0
219,Qora,"Oct 2, 2014",9.99,"20,000 .. 50,000","Holden Boyles, Ciprian Stanciu",Curve Digital,0.0,0.0,63.0,2014.0
223,Continue?9876543210,"Jan 3, 2014",9.99,"20,000 .. 50,000",Jason Oda,Jason Oda,0.0,0.0,62.0,2014.0
224,Dominique Pamplemousse,"Mar 11, 2014",0.99,"20,000 .. 50,000",Squinkifer Productions,Squinkifer Productions,0.0,0.0,62.0,2014.0
228,The Old City: Leviathan,"Dec 3, 2014",5.99,"20,000 .. 50,000",PostMod Softworks,PostMod Softworks,0.0,0.0,62.0,2014.0
232,Spate,"Mar 27, 2014",,"20,000 .. 50,000",Eric Provan - Ayyo Games,Ayyo Games,0.0,0.0,61.0,2014.0
235,Wings! Remastered Edition,"Oct 17, 2014",14.99,"20,000 .. 50,000",Cinemaware,Cinemaware,0.0,0.0,61.0,2014.0
236,Redux: Dark Matters,"Dec 12, 2014",12.99,"20,000 .. 50,000",KTX Software,Signo & Arte,0.0,0.0,61.0,2014.0
241,Constant C,"Mar 7, 2014",9.99,"20,000 .. 50,000","International Games System, Co., LTD.","International Games System, Co., LTD.",0.0,0.0,60.0,2014.0
244,Journal,"Feb 17, 2014",9.99,"20,000 .. 50,000",Locked Door Puzzle,Lupus Studios Limited,0.0,0.0,59.0,2014.0
246,Schrödinger’s Cat And The Raiders Of The Lost Quark,"Sep 23, 2014",9.99,"20,000 .. 50,000",Italic Pig,Team17 Digital Ltd,0.0,0.0,59.0,2014.0
256,Jet Car Stunts,"May 1, 2014",2.99,"20,000 .. 50,000",GRIP Digital s.r.o.,bitComposer Games,0.0,0.0,57.0,2014.0
258,BeatBlasters III,"Feb 21, 2014",9.99,"20,000 .. 50,000",Chainsawesome Games,Chainsawesome Games,0.0,0.0,56.0,2014.0
259,Croixleur Sigma,"Apr 30, 2014",,"20,000 .. 50,000",souvenir circ.,Nyu Media,0.0,0.0,56.0,2014.0
268,Moebius: Empire Rising,"Apr 15, 2014",14.99,"20,000 .. 50,000",Phoenix Online Studios,Phoenix Online Publishing,0.0,0.0,54.0,2014.0
278,YAIBA: NINJA GAIDEN Z,"Mar 21, 2014",29.99,"20,000 .. 50,000","Spark Unlimited, comcept Inc., Team NINJA","KOEI TECMO GAMES CO., LTD.",0.0,0.0,49.0,2014.0
279,Line Of Defense Tactics - Tactical Advantage,"Mar 17, 2014",9.99,"20,000 .. 50,000",3000AD,3000AD,0.0,0.0,47.0,2014.0
288,Majestic Nights,"Oct 30, 2014",4.99,"20,000 .. 50,000",Epiphany Games,Epiphany Games,0.0,0.0,32.0,2014.0
303,Manga Maker Comipo,"Mar 7, 2014",49.99,"20,000 .. 50,000",ComiPo! LLP,Degica,0.0,0.0,,2014.0
305,T.E.C. 3001,"Apr 10, 2014",,"20,000 .. 50,000",Phoenix Game Studio,BulkyPix,0.0,0.0,,2014.0
308,Rogue's Tale,"Mar 28, 2014",6.99,"20,000 .. 50,000",Epixx.org,Epixx.org,0.0,0.0,,2014.0
310,Verde Station,"Sep 26, 2014",,"20,000 .. 50,000",Duelboot,Duelboot,0.0,0.0,,2014.0
311,Sweezy Gunner,"May 6, 2014",3.99,"20,000 .. 50,000",Windybeard,Windybeard,0.0,0.0,,2014.0
312,Detective Case and Clown Bot in: Murder in the Hotel Lisbon,"Jul 17, 2014",5.99,"20,000 .. 50,000",Nerd Monkeys®,Nerd Monkeys®,0.0,0.0,,2014.0
313,Heavy Fire: Afghanistan,"Aug 15, 2014",2.99,"20,000 .. 50,000",Teyon,Mastiff,0.0,0.0,,2014.0
317,Radium,"Mar 29, 2014",2.99,"20,000 .. 50,000",Lukas Jaeckel,Develobster,0.0,0.0,,2014.0
321,Warehouse and Logistics Simulator,"Feb 25, 2014",9.99,"20,000 .. 50,000",app2fun,United Independent Entertainment GmbH,0.0,0.0,,2014.0
323,The Maker's Eden,"Jul 30, 2014",8.99,"20,000 .. 50,000",Screwy Lightbulb,Screwy Lightbulb,0.0,0.0,,2014.0
324,GTGD S1: More Than a Gamer,"Feb 13, 2014",14.99,"20,000 .. 50,000",GTGD,GTGD,0.0,0.0,,2014.0
332,Driving School Simulator,"Sep 25, 2014",14.99,"20,000 .. 50,000",Ovilex Software,United Independent Entertainment GmbH,0.0,0.0,,2014.0
337,C-RUSH,"Feb 17, 2014",1.99,"20,000 .. 50,000",Artnumeris,Artnumeris,0.0,0.0,,2014.0
338,Star Nomad,"Dec 29, 2014",0.99,"20,000 .. 50,000",Huy Phan,Huy Phan,0.0,0.0,,2014.0
364,Metal Dead,"Oct 6, 2014",4.99,"20,000 .. 50,000",Walk Thru Walls Studios,Walk Thru Walls Studios,0.0,0.0,,2014.0
366,Adventure Time: Finn and Jake's Epic Quest,"Apr 11, 2014",9.99,"20,000 .. 50,000",NGD Studios,Cartoon Network Games,0.0,0.0,,2014.0
367,DungeonUp,"Nov 18, 2014",4.99,"20,000 .. 50,000",Clewcat Games,Black Shell Media,0.0,0.0,,2014.0
371,1849,"May 8, 2014",14.99,"20,000 .. 50,000",SomaSim,SomaSim,0.0,0.0,,2014.0
373,Acceleration of SUGURI X-Edition HD,"Jul 1, 2014",5.99,"20,000 .. 50,000",Orange_Juice,"Rockin Android, Rockin' Android",0.0,0.0,,2014.0
377,Stranded,"May 20, 2014",0.99,"20,000 .. 50,000",Peter Moorhead,Curve Digital,0.0,0.0,,2014.0
379,Proxy Blade Zero,"Jul 28, 2014",6.99,"20,000 .. 50,000",DragonSix,DragonSix,0.0,0.0,,2014.0
383,Feel-A-Maze,"Nov 25, 2014",4.99,"20,000 .. 50,000",Five Archers Games,Strategy First,0.0,0.0,,2014.0
387,Pulstar,"Jun 11, 2014",1.99,"20,000 .. 50,000","Concave Studio, Colorful Media, Emagica",Indietopia Games,0.0,0.0,,2014.0
389,Where Angels Cry,"Feb 27, 2014",4.99,"20,000 .. 50,000",Cateia Games,Libredia Entertainment,0.0,0.0,,2014.0
390,Skilltree Saga,"Dec 4, 2014",9.99,"20,000 .. 50,000",Silent Dreams,Headup Games,0.0,0.0,,2014.0
391,The Sacred Tears TRUE,"Sep 25, 2014",9.99,"20,000 .. 50,000",AlphaNuts,Nyu Media,0.0,0.0,,2014.0
393,Catmouth Island,"Dec 31, 2014",0.99,"20,000 .. 50,000",Colonthree Enterprises,Colonthree Enterprises,0.0,0.0,,2014.0
396,Realms of Arkania 3 - Shadows over Riva Classic,"Jan 10, 2014",3.99,"20,000 .. 50,000",attic Entertainment Software GmbH,United Independent Entertainment GmbH,0.0,0.0,,2014.0
400,The Campaign Series: Fall Weiss,"May 30, 2014",14.99,"20,000 .. 50,000",Wastelands Interactive,Wastelands Interactive,0.0,0.0,,2014.0
403,The Shopkeeper,"Oct 23, 2014",2.99,"20,000 .. 50,000",Tom De Roeck,Mastertronic,0.0,0.0,,2014.0
415,Obludia,"Jul 18, 2014",2.99,"20,000 .. 50,000",FobTi interactive,FobTi interactive,0.0,0.0,,2014.0
442,GearCity,"May 30, 2014",19.99,"20,000 .. 50,000",Visual Entertainment And Technologies,Visual Entertainment And Technologies,0.0,0.0,,2014.0
448,Dead Man's Draw,"Feb 6, 2014",6.99,"20,000 .. 50,000",Stardock Entertainment,Stardock Entertainment,0.0,0.0,,2014.0
454,Leadwerks Game Engine,"Jan 6, 2014",99.99,"20,000 .. 50,000",Leadwerks Software,Leadwerks Software,0.0,0.0,,2014.0
460,Point Perfect,"Jul 17, 2014",4.99,"20,000 .. 50,000",Highcastle Studios,Plug In Digital,0.0,0.0,,2014.0
461,FLASHOUT 2,"Jun 6, 2014",4.99,"20,000 .. 50,000",Jujubee S.A.,Jujubee S.A.,0.0,0.0,,2014.0
462,NS2: Combat,"Oct 31, 2014",,"20,000 .. 50,000",Faultline Games,Unknown Worlds Entertainment,0.0,0.0,,2014.0
465,Slip,"Apr 28, 2014",0.99,"20,000 .. 50,000",Handsome Games,Handsome Games,0.0,0.0,,2014.0
468,Sky Mercenaries,"Dec 16, 2014",9.99,"20,000 .. 50,000",PolarityFlow,PolarityFlow,0.0,0.0,,2014.0
470,Let's Sing,"Feb 13, 2014",14.99,"20,000 .. 50,000",Voxler Games,Plug In Digital,0.0,0.0,,2014.0
471,Lost Civilization,"Apr 15, 2014",4.99,"20,000 .. 50,000",Icarus Games,Phoenix Online Publishing,0.0,0.0,,2014.0
489,Fantasy Grounds,"May 9, 2014",39.99,"20,000 .. 50,000","SmiteWorks USA, LLC","SmiteWorks USA, LLC",68.0,68.0,,2014.0
490,The Fifth Day,"Jul 25, 2014",14.99,"20,000 .. 50,000",Touz,Touz,0.0,0.0,,2014.0
491,Danmaku Unlimited 2,"Mar 18, 2014",4.99,"20,000 .. 50,000",Doragon Entertainment,Doragon Entertainment,0.0,0.0,,2014.0
492,Freedom Fall,"Jan 10, 2014",9.99,"20,000 .. 50,000",Stirfire Studios,Stirfire Studios,0.0,0.0,,2014.0
494,Aeon Command,"Jul 3, 2014",2.99,"20,000 .. 50,000","Bat Country Games, LLC","Bat Country Games, LLC",0.0,0.0,,2014.0
497,Unhack,"Feb 20, 2014",3.99,"20,000 .. 50,000",InvertMouse,InvertMouse,0.0,0.0,,2014.0
499,Close Combat - Gateway to Caen,"Jun 6, 2014",39.99,"20,000 .. 50,000",Slitherine Ltd.,Slitherine Ltd.,0.0,0.0,,2014.0
502,SUGURI,"Jul 1, 2014",5.99,"20,000 .. 50,000",Orange_Juice,"Rockin' Android, Rockin Android",0.0,0.0,,2014.0
503,The Sun and Moon,"Nov 14, 2014",6.99,"20,000 .. 50,000",Daniel Linssen,"Digerati, Kot in Action Creative Artel",0.0,0.0,,2014.0
506,Last Inua,"Dec 11, 2014",7.99,"20,000 .. 50,000",Glowforth,"Wired Productions, THQ Nordic",0.0,0.0,,2014.0
507,RECYCLE,"Sep 3, 2014",11.99,"20,000 .. 50,000",rondomedia GmbH,rondomedia GmbH,0.0,0.0,,2014.0
508,ALLTYNEX Second,"Dec 11, 2014",7.99,"20,000 .. 50,000",SITER SKAIN,Nyu Media,0.0,0.0,,2014.0
509,My Ex-Boyfriend the Space Tyrant,"Jul 21, 2014",14.99,"20,000 .. 50,000",Up Multimedia,Up Multimedia,0.0,0.0,,2014.0
518,Construction Machines 2014,"Mar 28, 2014",6.99,"20,000 .. 50,000",GameCask,GameCask,0.0,0.0,,2014.0
523,BlackShadows,"Jul 1, 2014",2.99,"20,000 .. 50,000",IceGames Studios,"Double Fine Presents, David OReilly",0.0,0.0,,2014.0
524,Ku: Shroud of the Morrigan,"Mar 17, 2014",4.99,"20,000 .. 50,000",bitSmith Games,bitSmith Games,0.0,0.0,,2014.0
532,Run For Rum,"Jul 2, 2014",4.99,"20,000 .. 50,000",Reload Game Studio,Strategy First,0.0,0.0,,2014.0
535,Atajrubah,"Nov 27, 2014",,"20,000 .. 50,000",NexyMedia,NexyMedia,0.0,0.0,,2014.0
550,Dungeonmans,"Dec 9, 2014",14.99,"20,000 .. 50,000",Adventurepro Games LLC,Adventurepro Games LLC,0.0,0.0,,2014.0
553,Ascension: Deckbuilding Game,"Dec 16, 2014",9.99,"20,000 .. 50,000","Playdek, Inc.",Asmodee Digital,0.0,0.0,,2014.0
556,Rogue Shooter: The FPS Roguelike,"Apr 24, 2014",4.99,"20,000 .. 50,000",Hippomancer,Hippomancer,0.0,0.0,,2014.0
560,FIST OF AWESOME,"Jul 3, 2014",,"20,000 .. 50,000",I Fight Bears,I Fight Bears,0.0,0.0,,2014.0
562,Pro Cycling Manager 2014,"Jun 19, 2014",9.99,"20,000 .. 50,000",Cyanide Studio,"DeXP, MyLifeGame.RU",0.0,0.0,,2014.0
564,Gunhound EX,"May 1, 2014",,"20,000 .. 50,000","Dracue, Co. ltd",AGM PLAYISM,0.0,0.0,,2014.0
567,Elliot Quest,"Nov 10, 2014",9.99,"20,000 .. 50,000",Ansimuz Games,PlayEveryWare,0.0,0.0,,2014.0
568,Ukrainian Ninja,"Dec 23, 2014",,"20,000 .. 50,000","Michael Kissinger, Marco Hulden, Shaun Egan, Joshua Marks, Denys Ovsiannykov",Dragon Fire Games Inc,0.0,0.0,,2014.0
569,Devil's Dare 悪魔の挑戦,"Oct 21, 2014",12.99,"20,000 .. 50,000",Secret Base,Secret Base,0.0,0.0,,2014.0
571,Claustrophobia: The Downward Struggle,"Sep 9, 2014",4.99,"20,000 .. 50,000",The Indie Forge,The Indie Forge,0.0,0.0,,2014.0
576,Beyond Space Remastered Edition,"Jun 16, 2014",4.99,"20,000 .. 50,000",Silesia Games Sp. z o.o.,Plug In Digital,0.0,0.0,,2014.0
577,Shadowcrypt,"Jul 7, 2014",4.99,"20,000 .. 50,000",One-bit Punch,One-bit Punch,0.0,0.0,,2014.0
583,Pro Rugby Manager 2015,"Sep 18, 2014",9.99,"20,000 .. 50,000",Cyanide,505 Games,0.0,0.0,,2014.0
585,Midnight Mysteries: Witches of Abraham - Collector's Edition,"Nov 24, 2014",13.99,"20,000 .. 50,000",Hot Lava,MumboJumbo,0.0,0.0,,2014.0
593,Luna: Shattered Hearts: Episode 1,"Nov 24, 2014",2.99,"20,000 .. 50,000",Daniel Gill,Gillis LLC,0.0,0.0,,2014.0
595,Recovery Search & Rescue Simulation,"Jan 9, 2014",4.99,"20,000 .. 50,000",Excalibur Publishing,Excalibur Publishing,0.0,0.0,,2014.0
615,Death Skid Marks,"Nov 20, 2014",9.99,"20,000 .. 50,000",Studio Whisky Tango Inc.,Studio Whisky Tango Inc.,0.0,0.0,,2014.0
622,Bridge Constructor Medieval,"Sep 15, 2014",9.99,"20,000 .. 50,000",ClockStone,Headup Games,0.0,0.0,,2014.0
625,Major Mayhem,"Feb 24, 2014",4.99,"20,000 .. 50,000",Rocket Jump,Rocket Jump,0.0,0.0,,2014.0
626,Super Toy Cars,"Jun 6, 2014",9.99,"20,000 .. 50,000",Eclipse Games,Eclipse Games,0.0,0.0,,2014.0
627,Raiden III Digital Edition,"Sep 25, 2014",9.99,"20,000 .. 50,000","Moss Co., Ltd.","H2 Interactive Co., Ltd.",0.0,0.0,,2014.0
630,Viktor,"Jun 13, 2014",7.99,"20,000 .. 50,000",Shorebound Studios,Shorebound Studios,0.0,0.0,,2014.0
635,QbQbQb,"Oct 29, 2014",4.99,"20,000 .. 50,000",Rezoner,Rezoner,0.0,0.0,,2014.0
637,Rime Berta,"Dec 16, 2014",14.99,"20,000 .. 50,000",NEXT-SOFT+,AGM PLAYISM,0.0,0.0,,2014.0
639,The Joylancer: Legendary Motor Knight,"Nov 7, 2014",9.99,"20,000 .. 50,000",alpha six productions,Digerati,0.0,0.0,,2014.0
643,Towtruck Simulator 2015,"Mar 11, 2014",9.99,"20,000 .. 50,000",United Independent Entertainment GmbH,United Independent Entertainment GmbH,0.0,0.0,,2014.0
654,BRG's Red Riding Hood,"Oct 2, 2014",1.99,"20,000 .. 50,000",Brave Rock Games,Brave Rock Games,0.0,0.0,,2014.0
656,Red Johnson's Chronicles - 1+2 - Steam Special Edition,"Sep 5, 2014",9.99,"20,000 .. 50,000",Lexis Numérique,Microids,0.0,0.0,,2014.0
677,Blackwell Epiphany,"Apr 24, 2014",9.99,"20,000 .. 50,000",Wadjet Eye Games,Wadjet Eye Games,0.0,0.0,,2014.0
679,NOBUNAGA'S AMBITION: Souzou (Traditional Chinese version),Aug 2014,24.99,"20,000 .. 50,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",0.0,0.0,,
682,Nanofights,"Dec 11, 2014",1.99,"20,000 .. 50,000",Quantumfrog,Libredia,0.0,0.0,,2014.0
686,Krita,"Jun 10, 2014",9.99,"20,000 .. 50,000",Krita Team,Krita Team,0.0,0.0,,2014.0
687,Braveland Wizard,"Dec 4, 2014",6.99,"20,000 .. 50,000",Tortuga Team,Tortuga Team,0.0,0.0,,2014.0
693,FATE: The Cursed King,"Nov 19, 2014",7.99,"20,000 .. 50,000",WildTangent,WildTangent,0.0,0.0,,2014.0
698,Noir Syndrome,"Apr 2, 2014",6.99,"20,000 .. 50,000",Glass Knuckle Games,Glass Knuckle Games,0.0,0.0,,2014.0
708,Cyto,"Jul 10, 2014",3.99,"20,000 .. 50,000",Room 8 Studio,Room 8 Studio,0.0,0.0,,2014.0
713,Residue: Final Cut,"Aug 1, 2014",1.99,"20,000 .. 50,000",The Working Parts,The Working Parts,0.0,0.0,,2014.0
715,Space Legends: At the Edge of the Universe,"Jul 25, 2014",9.99,"20,000 .. 50,000",Red Hedgehog,Viva Media,0.0,0.0,,2014.0
718,Don Bradman Cricket 14,"Jun 25, 2014",19.99,"20,000 .. 50,000",Big Ant Studios,Big Ant Studios,0.0,0.0,,2014.0
719,Crab Cakes Rescue,"Nov 14, 2014",6.99,"20,000 .. 50,000",Mission Critical Studios,"KISS ltd, Maximum Games",0.0,0.0,,2014.0
724,Aqua Kitty - Milk Mine Defender,"Feb 3, 2014",6.99,"20,000 .. 50,000","TIKIPOD, Electric Cafe",TIKIPOD,0.0,0.0,,2014.0
725,Third Eye Crime,"Jul 23, 2014",4.99,"20,000 .. 50,000",Moonshot Games,Gameblyr,0.0,0.0,,2014.0
727,Dark Raid,"Jun 3, 2014",3.99,"20,000 .. 50,000",Vector Games,Vector Games,0.0,0.0,,2014.0
729,Crouching Pony Hidden Dragon,"Jul 11, 2014",9.99,"20,000 .. 50,000",Le Cortex,Neko Entertainment,0.0,0.0,,2014.0
734,Millennium 5 - The Battle of the Millennium,"Nov 7, 2014",1.29,"20,000 .. 50,000",Aldorlea Games,Aldorlea Games,0.0,0.0,,2014.0
742,Crazy Plant Shop,"Aug 4, 2014",4.99,"20,000 .. 50,000",Filament Games,Filament Games,0.0,0.0,,2014.0
747,Paradigm Shift,"May 19, 2014",1.99,"20,000 .. 50,000",Evilized Productions,Evilized productions,0.0,0.0,,2014.0
753,1HEART,"Oct 10, 2014",9.99,"20,000 .. 50,000",Chicken in The Corn,Chicken in The Corn,0.0,0.0,,2014.0
760,Crow,"Oct 6, 2014",9.99,"20,000 .. 50,000",Sunside Games,Sunside Games,0.0,0.0,,2014.0
761,Wyv and Keep: The Temple of the Lost Idol,"Aug 8, 2014",14.99,"20,000 .. 50,000",A Jolly Corpse,A Jolly Corpse,0.0,0.0,,2014.0
763,Ship Simulator: Maritime Search and Rescue,"Jul 1, 2014",11.99,"20,000 .. 50,000",Reality Twist GmbH,rondomedia GmbH,0.0,0.0,,2014.0
765,Cinemaware Anthology: 1986-1991,"Nov 14, 2014",9.99,"20,000 .. 50,000",Cinemaware,Cinemaware,0.0,0.0,,2014.0
766,Nicolas Eymerich - The Inquisitor - Book 1 : The Plague,"Apr 30, 2014",4.99,"20,000 .. 50,000",Ticonblu,Microids Indie,0.0,0.0,,2014.0
769,Dracula 4 and 5 - Special Steam Edition,"May 29, 2014",7.99,"20,000 .. 50,000",Koalabs,Microids,0.0,0.0,,2014.0
770,Quantum Conscience,"Aug 26, 2014",4.99,"20,000 .. 50,000",Woodsy Studio,Woodsy Studio,0.0,0.0,,2014.0
772,Mining & Tunneling Simulator,"Mar 5, 2014",9.99,"20,000 .. 50,000",United Independent Entertainment GmbH,United Independent Entertainment GmbH,0.0,0.0,,2014.0
774,Baseball Mogul 2015,"Apr 3, 2014",4.99,"20,000 .. 50,000","Sports Mogul, Inc.","Sports Mogul, Inc.",0.0,0.0,,2014.0
775,BoxesWithGuns,"Dec 14, 2014",1.99,"20,000 .. 50,000","Thomas Christof, Giovanni Rotondo, Thomas S.",Thomas Christof,0.0,0.0,,2014.0
791,Super Panda Adventures,"Jul 14, 2014",4.99,"20,000 .. 50,000",BlueEagle Productions,Paul Schneider,0.0,0.0,,2014.0
794,Command: Modern Air / Naval Operations WOTY,"Sep 26, 2014",79.99,"20,000 .. 50,000",WarfareSims,Slitherine Ltd.,0.0,0.0,,2014.0
804,Rex Rocket,"Aug 5, 2014",4.99,"20,000 .. 50,000","Castle Pixel, LLC.","Castle Pixel, LLC.",0.0,0.0,,2014.0
805,Ascendant,"May 13, 2014",9.99,"20,000 .. 50,000",Hapa Games,Hapa Games,0.0,0.0,,2014.0
807,Asteria,"Jul 3, 2014",4.99,"20,000 .. 50,000",Legend Studio,Legend Studio,0.0,0.0,,2014.0
808,Home Sheep Home 2,"Feb 17, 2014",9.99,"20,000 .. 50,000",Aardman Animations,Aardman Animations,0.0,0.0,,2014.0
809,Quantum Rush Champions,"Dec 4, 2014",9.99,"20,000 .. 50,000",GameArt Studio GmbH,GameArt Studio GmbH,0.0,0.0,,2014.0
813,BIT.TRIP FLUX,"Jun 5, 2014",9.99,"20,000 .. 50,000",Gaijin Games,Gaijin Games,0.0,0.0,,2014.0
817,Shiny The Firefly,"May 16, 2014",9.99,"20,000 .. 50,000",Stage Clear Studios,Headup Games,0.0,0.0,,2014.0
818,The Great Jitters: Pudding Panic,"May 15, 2014",4.99,"20,000 .. 50,000",kunst-stoff GmbH,kunst-stoff GmbH,0.0,0.0,,2014.0
819,Sentinel,"Apr 22, 2014",,"20,000 .. 50,000",Matthew Brown,Matthew Brown,0.0,0.0,,2014.0
823,Dracula 3: The Path of the Dragon,"Apr 17, 2014",7.99,"20,000 .. 50,000",Microids,Microids,0.0,0.0,,2014.0
868,Words for Evil,"Aug 12, 2014",2.99,"20,000 .. 50,000",Dylan Loney,Dylan Loney,0.0,0.0,,2014.0
873,Nearwood - Collector's Edition,"Apr 16, 2014",9.99,"20,000 .. 50,000",MagicIndie,Viva Media,0.0,0.0,,2014.0
875,Last Knight: Rogue Rider Edition,"Oct 3, 2014",7.99,"20,000 .. 50,000",Toco Games,Toco Games,0.0,0.0,,2014.0
880,Arcane Worlds,"Jan 28, 2014",9.99,"20,000 .. 50,000",Ranmantaru Games,Ranmantaru Games,0.0,0.0,,2014.0
881,Great Permutator,"Sep 15, 2014",6.99,"20,000 .. 50,000",Ripatti Software,Ripatti Software,0.0,0.0,,2014.0
889,Gardens Inc. – From Rakes to Riches,"Mar 25, 2014",9.99,"20,000 .. 50,000","World-Loom, Nitreal",MumboJumbo,0.0,0.0,,2014.0
893,Coldfire Keep,"May 9, 2014",3.99,"20,000 .. 50,000",Steve Jarman,Steve Jarman,0.0,0.0,,2014.0
925,Perpetuum,"Oct 17, 2014",4.99,"20,000 .. 50,000",Avatar Creations,Gamestorm Ltd,0.0,0.0,,2014.0
932,Pretentious Game,"May 20, 2014",1.99,"20,000 .. 50,000",Keybol,Keybol,0.0,0.0,,2014.0
939,Thief Town,"Sep 26, 2014",7.99,"20,000 .. 50,000",Rude Ghost,Rude Ghost,0.0,0.0,,2014.0
941,Echo of the Wilds,"Jun 10, 2014",8.99,"20,000 .. 50,000",Anthony Case,Caiysware,0.0,0.0,,2014.0
944,DIG IT! - A Digger Simulator,"Oct 14, 2014",11.99,"20,000 .. 50,000",Cape Copenhagen,rondomedia GmbH,0.0,0.0,,2014.0
949,A City Sleeps,"Oct 16, 2014",9.99,"20,000 .. 50,000","Harmonix Music Systems, Inc","Harmonix Music Systems, Inc",0.0,0.0,,2014.0
951,Mathoria: It All Adds Up,"Dec 27, 2014",,"20,000 .. 50,000",Senshi.Labs,Senshi.Labs,0.0,0.0,,2014.0
954,Foresight,"Nov 28, 2014",4.99,"20,000 .. 50,000",Strides Interactive,mNosGaming,0.0,0.0,,2014.0
962,GunWorld,"Nov 16, 2014",1.99,"20,000 .. 50,000",m07games,m07games,0.0,0.0,,2014.0
969,Solar Struggle,"Nov 18, 2014",5.99,"20,000 .. 50,000",Z-Software,Z-Software GmbH,0.0,0.0,,2014.0
971,PAC-MAN MUSEUM,"Feb 26, 2014",19.99,"20,000 .. 50,000",BANDAI NAMCO Studio Inc.,BANDAI NAMCO Entertainment,0.0,0.0,,2014.0
973,Drifter,"Mar 4, 2014",11.99,"20,000 .. 50,000",Celsius Game Studios,Celsius Game Studios,0.0,0.0,,2014.0
974,Hero of Many,"Sep 15, 2014",6.99,"20,000 .. 50,000",Trickster Arts,Trickster Arts,0.0,0.0,,2014.0
976,Hunters Of The Dead,"Sep 4, 2014",4.99,"20,000 .. 50,000",Traptics,Strategy First,0.0,0.0,,2014.0
977,Dungeons: The Eye of Draconus,"Aug 1, 2014",2.99,"20,000 .. 50,000",SuckerFree Games,SuckerFree Games,0.0,0.0,,2014.0
978,Lords of the Black Sun,"Sep 12, 2014",29.99,"20,000 .. 50,000",Arkavi Studios,Iceberg Interactive,0.0,0.0,,2014.0
979,7 Wonders of the Ancient World,"Feb 18, 2014",6.99,"20,000 .. 50,000",MumboJumbo,MumboJumbo,0.0,0.0,,2014.0
