WASTE_ID,SOURCE,ORG_ID,WWTP_NAME,COUNTRY,CNTRY_ISO,LAT_WWTP,LON_WWTP,QUAL_LOC,LAT_OUT,LON_OUT,STATUS,POP_SERVED,QUAL_POP,WASTE_DIS,QUAL_WASTE,LEVEL,QUAL_LEVEL,DF,HYRIV_ID,RIVER_DIS,COAST_10KM,COAST_50KM,DESIGN_CAP,QUAL_CAP
3998,1,1282967,CASSANO_SPINOLA,Italy,ITA,44.769,8.845,2,44.865,8.84,Not Reported,29000,2,19820.986,1,Secondary,1,79.942,20507929.0,18.11,0,1,100000.0,2
3999,1,1282968,CASSINE,Italy,ITA,44.749,8.539,2,44.798,8.552,Not Reported,2800,2,1036.0,1,Secondary,1,2479.829,20508301.0,29.723,0,1,2800.0,2
4000,1,1282969,CASTELLAZZO_BORMIDA,Italy,ITA,44.852,8.595,2,44.873,8.619,Not Reported,5070,2,1842.937,1,Secondary,1,2372.323,20506537.0,50.581,0,0,7000.0,2
4001,1,1282970,CASTELNUOVO_SCRIVIA,Italy,ITA,44.99,8.879,2,45.052,8.877,Not Reported,7100,2,2181.214,1,Secondary,1,24074.134,20502579.0,607.739,0,0,14200.0,2
4002,1,1282971,CAVALLERMAGGIORE,Italy,ITA,44.718,7.684,2,44.81,7.656,Not Reported,3260,2,1332.934,1,Secondary,1,703.772,20510813.0,10.842,0,0,4000.0,2
4003,1,1282972,CAVOUR_FRAZ_VILLAFRANCA,Italy,ITA,44.781,7.388,2,44.76,7.49,Not Reported,4313,2,483.0,1,Secondary,1,2059.932,20509037.0,11.51,0,0,3750.0,2
4004,1,1282973,CENTALLO,Italy,ITA,44.513,7.59,2,44.527,7.594,Not Reported,5098,2,2560.551,1,Secondary,1,265.104,20513860.0,7.827,0,0,7017.0,2
4005,1,1282974,CESANA_TORINESE_MOLLIERES,Italy,ITA,44.965,6.794,2,45.044,6.831,Not Reported,4345,2,364.0,1,Secondary,1,1727.101,20502752.0,7.272,0,0,6000.0,2
4006,1,1282975,CEVA,Italy,ITA,44.398,8.017,2,44.423,7.965,Not Reported,5461,2,2101.334,1,Secondary,1,661.211,20516076.0,16.057,0,1,8343.0,2
4007,1,1282976,CHERASCO,Italy,ITA,44.659,7.868,2,44.652,7.877,Not Reported,8500,2,2379.074,1,Secondary,1,2656.401,20511284.0,73.118,0,0,8700.0,2
