set_num,name,year,theme_id,num_parts,img_url,inventory_id,quantity,id,version,fig_num,name_num_parts_r,img_url_num_parts_r,_art_year
061-1,Five Large Base Plates - Green,1966,371,5,https://cdn.rebrickable.com/media/sets/061-1.jpg,,,24751,1,fig-000006,Lloyd Avatar,https://cdn.rebrickable.com/media/sets/fig-000006.jpg,1966
065-1,Two Garage Door Kits,1969,371,6,https://cdn.rebrickable.com/media/sets/065-1.jpg,,,24754,1,fig-000016,Stealthor,https://cdn.rebrickable.com/media/sets/fig-000016.jpg,1969
066-1,Basic Building Set,1968,366,407,https://cdn.rebrickable.com/media/sets/066-1.jpg,,,2650,1,,,,1968
074-1,Pre-School Set,1976,505,20,https://cdn.rebrickable.com/media/sets/074-1.jpg,,,26992,1,fig-009089,Swoop,https://cdn.rebrickable.com/media/sets/fig-009089.jpg,1976
0756668530-1,Atlantis: Brickmaster,2010,497,157,https://cdn.rebrickable.com/media/sets/0756668530-1.jpg,,,6399,1,,,,2010
0756672805-1,Pirates: Brickmaster,2009,497,162,https://cdn.rebrickable.com/media/sets/0756672805-1.jpg,,,10414,1,,,,2009
0756682762-1,Ninjago: Brickmaster,2011,497,154,https://cdn.rebrickable.com/media/sets/0756682762-1.jpg,,,16042,1,,,,2011
080-1,Basic Building Set with Train,1967,366,712,https://cdn.rebrickable.com/media/sets/080-1.jpg,,,1973,1,,,,1967
082-1,Legoville,1976,505,63,https://cdn.rebrickable.com/media/sets/082-1.jpg,,,45846,1,,,,1976
088-1,Super Set,1969,469,615,https://cdn.rebrickable.com/media/sets/088-1.jpg,,,13887,1,,,,1969
1000-1,Mosaic Set,1985,516,203,https://cdn.rebrickable.com/media/sets/1000-1.jpg,,,26651,1,,,,1985
10001-1,Metroliner,2001,233,787,https://cdn.rebrickable.com/media/sets/10001-1.jpg,13941.0,1.0,11090,1,,,,2001
10002-1,Railroad Club Car,2001,233,293,https://cdn.rebrickable.com/media/sets/10002-1.jpg,13941.0,1.0,4904,1,,,,2001
10003-1,1 x 2 Sand Red Bricks,2001,254,100,https://cdn.rebrickable.com/media/sets/10003-1.jpg,,,14242,1,,,,2001
10009-1,Assorted Blue Bricks,2001,254,62,https://cdn.rebrickable.com/media/sets/10009-1.jpg,,,11510,1,,,,2001
100-1,4.5V Motor with Wheels (Small Version),1966,235,16,https://cdn.rebrickable.com/media/sets/100-1.jpg,,,15097,1,fig-001544,MBA Level Three,https://cdn.rebrickable.com/media/sets/fig-001544.jpg,1966
10011-1,Assorted Blue Plates,2001,254,42,https://cdn.rebrickable.com/media/sets/10011-1.jpg,,,2286,1,fig-003968,"Droideka / Destroyer Droid, Reddish Brown Shell, Pearl Dark Gray Legs, Back Armor",https://cdn.rebrickable.com/media/sets/fig-003968.jpg,2001
10013-1,Open Freight Wagon,2001,236,121,https://cdn.rebrickable.com/media/sets/10013-1.jpg,13917.0,1.0,1212,1,,,,2001
10014-1,Caboose,2001,236,170,https://cdn.rebrickable.com/media/sets/10014-1.jpg,98815.0,1.0,3197,1,,,,2001
10015-1,Passenger Wagon,2001,236,194,https://cdn.rebrickable.com/media/sets/10015-1.jpg,98815.0,1.0,4222,1,,,,2001
10016-1,Tanker,2001,236,128,https://cdn.rebrickable.com/media/sets/10016-1.jpg,98815.0,1.0,13739,1,,,,2001
10017-1,Hopper Wagon,2001,236,228,https://cdn.rebrickable.com/media/sets/10017-1.jpg,13917.0,1.0,931,1,,,,2001
10018-1,Darth Maul,2001,171,1868,https://cdn.rebrickable.com/media/sets/10018-1.jpg,,,14521,1,,,,2001
10019-1,Rebel Blockade Runner,2001,171,1748,https://cdn.rebrickable.com/media/sets/10019-1.jpg,,,13852,1,,,,2001
100-2,4.5V Motor with Wheels (Large Version),1966,235,27,https://cdn.rebrickable.com/media/sets/100-2.jpg,,,9538,1,fig-002804,Daddy No Legs with Printed Round Tile,https://cdn.rebrickable.com/media/sets/fig-002804.jpg,1966
10020-1,Santa Fe Super Chief,2002,236,435,https://cdn.rebrickable.com/media/sets/10020-1.jpg,10158.0,1.0,4113,1,,,,2002
10020-2,Santa Fe Super Chief - Limited Edition,2002,236,441,https://cdn.rebrickable.com/media/sets/10020-2.jpg,,,11970,1,,,,2002
10021-1,U.S.S. Constellation,2003,404,975,https://cdn.rebrickable.com/media/sets/10021-1.jpg,,,15624,1,,,,2003
10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,236,411,https://cdn.rebrickable.com/media/sets/10022-1.jpg,10158.0,1.0,13406,1,,,,2002
10023-1,Master Builder Set,2002,324,111,https://cdn.rebrickable.com/media/sets/10023-1.jpg,,,8609,1,,,,2002
10024-1,Red Baron,2002,673,670,https://cdn.rebrickable.com/media/sets/10024-1.jpg,14812.0,1.0,7884,1,,,,2002
10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,236,326,https://cdn.rebrickable.com/media/sets/10025-1.jpg,10158.0,1.0,7806,1,,,,2002
10026-1,Naboo Starfighter,2002,171,188,https://cdn.rebrickable.com/media/sets/10026-1.jpg,,,6064,1,,,,2002
10029-1,Lunar Lander,2003,387,469,https://cdn.rebrickable.com/media/sets/10029-1.jpg,,,7830,1,,,,2003
10030-1,Imperial Star Destroyer,2002,171,3116,https://cdn.rebrickable.com/media/sets/10030-1.jpg,,,4773,1,,,,2002
10036-1,Pizza To Go,2002,50,151,https://cdn.rebrickable.com/media/sets/10036-1.jpg,,,14730,1,,,,2002
10037-1,Breezeway Cafe,2002,50,195,https://cdn.rebrickable.com/media/sets/10037-1.jpg,,,7939,1,,,,2002
