call_sign,frequency,city,licensee,format,state,facility_id,service,licensee_call_sign_r,status,details
KGDH-LP,104.5,Mobile,Mobile Hispanic Education Family Fundation,Spanish religious,Alabama,,,,,
KRLE,89.7,Carbon Hill,Educational Media Foundation,Contemporary Christian (K-Love),Alabama,,,,,
WAAO-FM,93.7,Andalusia,"Three Notch Communications, LLC",Country,Alabama,,,,,
WAAX,570.0,Gadsden,"iHM Licenses, LLC",News/Talk,Alabama,,,,,
WABD,97.5,Mobile,Cumulus Licensing LLC,Top 40 (CHR),Alabama,,,,,
WABF,1480.0,Mobile,Eternity Media Group WABF,Adult standards,Alabama,,,,,
WACQ,580.0,Tuskegee,"Tiger Communications, Inc.",Classic hits,Alabama,,,,,
WACT,1420.0,Tuscaloosa,"iHM Licenses, LLC",Adult contemporary,Alabama,,,,,
WACV,93.1,Coosada,"Liberty Acquisitions 825, LLC",News/Talk,Alabama,,,,,
WAFN,1310.0,Priceville,"Fun Media Group of North Alabama, LLC",Classic hits,Alabama,,,,,
WAFN-FM,92.7,Arab,"Fun Media Group, Inc.",Classic hits,Alabama,,,,,
WAGF-FM,101.3,Dothan,"Wilson Broadcasting Co., Inc.","R&B, Motown oldies, blues, gospel music, and sports",Alabama,,,,,
WAGG,610.0,Birmingham,"SM-WAGG, LLC",Urban gospel,Alabama,,,,,
WAGH,101.3,Smiths,"iHM Licenses, LLC",Urban adult contemporary,Alabama,,,,,
WAHR,99.1,Huntsville,"Southern Stone Communications, LLC",Adult contemporary,Alabama,,,,,
WAJF-LP,107.9,Decatur,Taxpayers Defense Fund,Variety,Alabama,,,,,
WAJH,91.1,Birmingham,"The Jazz Hall of Fame of Alabama, Inc.",Smooth jazz,Alabama,,,,,
WAKD,89.9,Sheffield,American Family Association,Religious talk (AFR),Alabama,,,,,
WALJ,105.1,Northport,"Townsquare Media Tuscaloosa License, LLC",Mainstream urban,Alabama,,,,,
WALN,89.3,Carrollton,American Family Association,Inspirational (AFR),Alabama,,,,,
WALQ,1130.0,Carrville,"Augustus Foundation, Inc.",Silent,Alabama,,,,,
WALW-LP,97.9,Moulton,"Community Information And Education Radio, Inc.",Classic hits,Alabama,,,,,
WALX,100.9,Orrville,"Scott Communications, Inc.",Classic hits,Alabama,950.0,FM,"SCOTT COMMUNICATIONS, INC.",LICENSED,Click for Details
WAMI,890.0,Opp,Christopher W. Johnson,Silent,Alabama,,,,,
WAMI-FM,102.3,Opp,Covington Media LLC,Classic country,Alabama,,,,,
WANI,1400.0,Opelika,"Auburn Network, Inc.",News/Talk,Alabama,,,,,
WAPI,1070.0,Birmingham,"Radio License Holding CBC, LLC",News/Talk (WZRR),Alabama,,,,,
WAPR,88.3,Selma,Ua-Asu-Tsu Educational Radio Corp.,Public radio,Alabama,,,,,
WARB,700.0,Dothan,"Alarado Media, LLC",Urban contemporary,Alabama,,,,,
WAQU,91.1,Selma,American Family Association,Religious talk (AFR),Alabama,,,,,
WASG,540.0,Daphne,Alabama Radio Corporation,Urban gospel,Alabama,,,,,
WATV,900.0,Birmingham,"Courtney French Broadcasting, LLC",Urban adult contemporary,Alabama,,,,,
WAUD,1230.0,Auburn,"Tiger Communications, Inc.",Sports,Alabama,,,,,
WAUE,100.3,Waverly,"Marble City Media, LLC",Adult contemporary,Alabama,,,,,
WAUF-LP,97.3,Auburn,"Core Radio Ministry, Inc.",Contemporary Christian,Alabama,,,,,
WAVH,106.5,Daphne,"Bigler Broadcasting, LLC",Talk,Alabama,,,,,
WAVU,630.0,Albertville,"Sand Mountain Broadcasting Service, Inc.",Contemporary Christian,Alabama,,,,,
WAXU,91.1,Troy,American Family Association,Religious talk (AFR),Alabama,,,,,
WAYE,1220.0,Birmingham,"Rivera Communications, LLC",Regional Mexican,Alabama,,,,,
WAYH,88.1,Harvest,"Way Media, Inc.",Contemporary Christian,Alabama,,,,,
WAYU,91.1,Steele,"Way Media, Inc.",Contemporary Christian,Alabama,,,,,
WBAM-FM,98.9,Montgomery,Bluewater Broadcasting Company LLC,Country,Alabama,,,,,
WBCF,1240.0,Florence,"Benny Carle Broadcasting, Inc.",News/Talk,Alabama,,,,,
WBFA,98.3,Fort Mitchell,"RCG Media, LLC",Urban contemporary,Alabama,,,,,
WBFR,89.5,Birmingham,"Family Stations, Inc.",Religious (Family Radio),Alabama,,,,,
WBFZ,105.3,Selma,"Imani Communications Corporation, Inc","Urban contemporary, Gospel",Alabama,,,,,
WBHJ,95.7,Midfield,"SM-WBHJ, LLC",Mainstream urban/Rhythmic contemporary,Alabama,730.0,FM,"SM-WBHJ, LLC",LICENSED,Click for Details
WBHK,98.7,Warrior,"SM-WBHK, LLC",Urban adult contemporary,Alabama,,,,,
WBHM,90.3,Birmingham,BD of Trustees/U of AL at Birmingham,Public radio; News Talk Information,Alabama,,,,,
WBHP,1230.0,Huntsville,"iHM Licenses, LLC",Talk,Alabama,,,,,
WBHY,840.0,Mobile,"Goforth Media, Inc.",Christian Talk,Alabama,,,,,
WBHY-FM,88.5,Mobile,"Goforth Media, Inc.",Contemporary Christian,Alabama,,,,,
WBIB,1110.0,Centreville,James Deloach,Southern gospel,Alabama,,,,,
WBLX-FM,92.9,Mobile,Cumulus Licensing LLC,Mainstream urban,Alabama,2540.0,FM,CUMULUS LICENSING LLC,LICENSED,Click for Details
WBMH,106.1,Grove Hill,"Pine City Radio, LLC",Classic country,Alabama,,,,,
WBNB,91.3,Equality,The Power Foundation,Southern gospel (The Life FM),Alabama,,,,,
WBPT,106.9,Homewood,"SM-WBPT, LLC",Classic rock,Alabama,,,,,
WBSA,1300.0,Boaz,"Watkins Broadcasting, Inc.",Christian/Southern gospel,Alabama,,,,,
WBTG,1290.0,Sheffield,"Slatton & Associates Broadcasters, Inc.",Southern gospel,Alabama,,,,,
WBTG-FM,106.3,Sheffield,"Slatton & Associates Broadcasters, Inc.",Southern gospel,Alabama,,,,,
WBXR,1140.0,Hazel Green,"New England Communications, Inc.",Christian talk,Alabama,,,,,
WBZR-FM,105.9,Atmore,Tri-County Broadcasting Inc.,Country,Alabama,,,,,
WCKA,810.0,Jacksonville,"Alabama 810, LLC",Classic country,Alabama,,,,,
WCKF,100.7,Ashland,"WCKF, L.L.C.",Country,Alabama,,,,,
WCKS,102.7,Fruithurst,"WCKS, LLC",Top 40 (CHR),Alabama,,,,,
WCOC-LP,103.5,Jacksonville,The Jacksonville Church of Christ,Gospel Broadcasting Network (GBN) programming,Alabama,,,,,
WCRL,1570.0,Oneonta,"Our Town Radio, Inc.",Classic hits,Alabama,,,,,
WCSN-FM,105.7,Orange Beach,Gulf Coast Broadcasting Co. Inc.,Classic hits,Alabama,,,,,
WDBT,103.9,Fort Rucker,"Gulf South Communications, Inc.",News/Talk,Alabama,63945.0,FM,"GULF SOUTH COMMUNICATIONS, INC.",LICENSED,Click for Details
WDIG,1450.0,Dothan,Larry Williams,Oldies,Alabama,,,,,
WDJC-FM,93.7,Birmingham,"Kimtron, Inc.",Contemporary Christian,Alabama,34819.0,FM,"KIMTRON, INC.",LICENSED,Click for Details
WDJL,1000.0,Huntsville,"Gospel Explosion Ministries, LLC",Urban contemporary,Alabama,,,,,
WDJR,96.9,Hartford,"Gulf South Communications, Inc.",Classic country,Alabama,,,,,
WDLG,90.1,Grove Hill,La Promesa Foundation,Catholic,Alabama,,,,,
WDLT-FM,104.1,Saraland,Cumulus Licensing LLC,Urban AC/Southern Blues,Alabama,8680.0,FM,CUMULUS LICENSING LLC,LICENSED,Click for Details
WDNG,1450.0,Anniston,"Lake Broadcasting, Inc.",Classic rock,Alabama,,,,,
WDRM,102.1,Decatur,"iHM Licenses, LLC",Country,Alabama,44024.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WDSA,1320.0,Dothan,"Wilson Broadcasting Co., Inc.",Urban talk,Alabama,,,,,
WDWZ,89.3,Andalusia,B. Jordan Communications Corporation,News/Talk,Alabama,,,,,
WDXB,102.5,Pelham,"iHM Licenses, LLC",Country,Alabama,2114.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WDXX,100.1,Selma,"Broadsouth Communications, Inc.",Country,Alabama,,,,,
WDYF,90.3,Dothan,"Faith Broadcasting, Inc",Christian,Alabama,,,,,
WDZK-LP,101.7,Madison,Madison County Veterans Association,Contemporary Christian,Alabama,,,,,
WEBJ,1240.0,Brewton,"Brewton Broadcasting, Inc.",News/Talk,Alabama,,,,,
WEBT,91.5,Langdale,Langdale Educational Broadcasting Foundation,Christian,Alabama,,,,,
WECB,105.3,Headland,"Alabama Media, LLC",Country,Alabama,,,,,
WEGL,91.1,Auburn,Board of Trustees Auburn University,Variety,Alabama,,,,,
WEIS,990.0,Centre,"Baker Enterprises, Inc.",Country/Southern gospel,Alabama,,,,,
WELB,1350.0,Elba,Rhett S. Snellgrove,Southern gospel,Alabama,,,,,
WELL-FM,88.7,Waverly,"Alabama Christian Radio, Inc.",Contemporary Christian,Alabama,,,,,
WELR-FM,102.3,Roanoke,"Eagle's Nest, Inc.",Country,Alabama,,,,,
WENN,1320.0,Birmingham,"SM-WENN, LLC",Urban adult contemporary (WBHK),Alabama,,,,,
WERC,960.0,Birmingham,"iHM Licenses, LLC",News/Talk,Alabama,,,,,
WERC-FM,105.5,Hoover,"iHM Licenses, LLC",News/Talk,Alabama,62278.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WERM,1220.0,Fairhope,"Eternity Media Group WERM, LLC",Urban gospel,Alabama,,,,,
WESP,102.5,Dothan,"Alabama Media, LLC",Classic hits,Alabama,,,,,
WESZ-LP,98.7,Abbeville,"Abbeville Broadcasting, Inc.",Oldies,Alabama,,,,,
WEUP,1700.0,Huntsville,"Hundley Batts, Sr. & Virginia Caples",Urban contemporary gospel,Alabama,,,,,
WEUP-FM,103.1,Moulton,"Hundley Batts, Sr. & Virginia Caples",Urban contemporary,Alabama,,,,,
WEUV,1190.0,Moulton,"Hundley Batts, Sr. & Virginia Caples",Urban contemporary gospel,Alabama,,,,,
WFAZ,90.9,Goodwater,First Assembly of God,Country gospel,Alabama,,,,,
WFEB,1340.0,Sylacauga,"Lake Broadcasting, Inc.",Adult contemporary,Alabama,,,,,
WFFN,95.3,Coaling,"Townsquare Media Tuscaloosa License, LLC",Country,Alabama,,,,,
WFHK,1430.0,Pell City,"Stocks Broadcasting, Inc.",Adult contemporary,Alabama,,,,,
WFIX,91.3,Florence,Tri-State Inspirational Broadcasting,Contemporary Christian,Alabama,,,,,
WFMA,102.9,Marion,Educational Media Foundation,Contemporary Worship (Air1),Alabama,,,,,
WFMH,1340.0,Cullman,"Jimmy Dale Media, LLC",Sports (WMCJ),Alabama,,,,,
WFMH-FM,95.5,Hackleburg,T & T Communications Inc,Country,Alabama,,,,,
WFPA,1400.0,Fort Payne,"J. Michael Wallace, dba Wallace Broadcasting Company",Silent,Alabama,,,,,
WFPW,91.1,Battens Crossroads,"T.P. Arrington Educational Foundation, Inc.",,Alabama,,,,,
WFTP-LP,103.9,Fort Payne,Fort Payne Church of Christ,Gospel Broadcasting Network (GBN) programming,Alabama,,,,,
WFXO,1050.0,Alexander City,"Marble City Media, LLC",Classic country (WYFA),Alabama,,,,,
WFXX,107.7,Georgiana,"Fox Broadcasting Corporation, LLC",Adult contemporary,Alabama,,,,,
WFYN-LP,93.3,Birmingham,The Church In Birmingham Corporation,Religious Teaching,Alabama,,,,,
WFZX,1490.0,Anniston,"The Jeff Beck Broadcasting Group, LLC",Urban contemporary,Alabama,,,,,
WGAD,930.0,Rainbow City,"Gadsden Radio Media, LLC",Oldies,Alabama,,,,,
WGIB,91.9,Birmingham,Glen Iris Baptist School,Religious,Alabama,,,,,
WGMP,1170.0,Montgomery,Bluewater Broadcasting Company LLC,Alternative rock,Alabama,,,,,
WGMZ,93.1,Glencoe,"iHM Licenses, LLC",Classic hits,Alabama,,,,,
WGOK,900.0,Mobile,Cumulus Licensing LLC,Gospel,Alabama,,,,,
WGOL,920.0,Russellville,Pilati Investments Corp.,Classic country,Alabama,,,,,
WGRW,90.7,Anniston,"Word Works, Inc.",Contemporary Christian,Alabama,,,,,
WGSV,1270.0,Guntersville,"Guntersville Broadcasting Company, Inc.",News/Talk,Alabama,,,,,
WGSY,100.1,Phenix City,"iHM Licenses, LLC",Adult contemporary,Alabama,,,,,
WGTF,89.5,Dothan,"Bible Broadcasting Network, Inc.",Conservative religious (Bible Broadcasting Network),Alabama,,,,,
WGYJ-LP,93.5,Atmore,"Gospel Light Church, Inc.",Religious Teaching,Alabama,,,,,
WGYV,1380.0,Greenville,Robert John Williamson,Talk,Alabama,,,,,
WGZZ,94.3,Waverly,"Auburn Network, Inc.",Classic hits,Alabama,15283.0,FM,"AUBURN NETWORK, INC.",LICENSED,Click for Details
WHBB,1490.0,Selma,"Broadsouth Communications, Inc.",News/Talk/Gospel,Alabama,,,,,
WHEP,1310.0,Foley,"Stewart Broadcasting Company, Inc.",News/Talk,Alabama,,,,,
WHHY-FM,101.9,Montgomery,Cumulus Licensing LLC,Top 40 (CHR),Alabama,,,,,
WHIL,91.3,Mobile,The Board of Trustees of the University of Alabama,Public radio,Alabama,,,,,
WHIY,1600.0,Huntsville,"Hundley Batts, Sr. & Virginia Caples",Urban oldies and Blues,Alabama,,,,,
WHLW,104.3,Luverne,"iHM Licenses, LLC",Urban contemporary gospel,Alabama,,,,,
WHMA,1390.0,Anniston,"Williams Communications, Inc.",Gospel,Alabama,,,,,
WHMA-FM,95.3,Alexandria,"Williams Communications, Inc.",Country,Alabama,,,,,
WHOD,94.5,Jackson,"Pine City Radio, LLC",Adult hits,Alabama,,,,,
WHOG,1120.0,Hobson City,Hobson City Broadcasting Co,Soul/R&B,Alabama,,,,,
WHOS,800.0,Decatur,"iHM Licenses, LLC",News/Talk,Alabama,,,,,
WHRP,94.1,Gurley,Cumulus Licensing LLC,Urban adult contemporary,Alabama,,,,,
WHSL,107.7,Lisman,Augustus Foundation Inc.,Urban adult contemporary,Alabama,,,,,
WHTY,1460.0,Phenix City–Columbus,"iHM Licenses, LLC",Black-oriented news,Alabama,,,,,
WHVK,103.5,New Hope,Educational Media Foundation,Contemporary Christian (K-Love),Alabama,170944.0,FM,EDUCATIONAL MEDIA FOUNDATION,LICENSED,Click for Details
WIEZ,1490.0,Decatur,"MKRADIO1, LLC",Dance,Alabama,,,,,
WIJD,1270.0,Prichard,Mobile Bay Corporation,Christian talk,Alabama,,,,,
WILF,88.9,Monroeville,The Power Foundation,Southern gospel (The Life FM),Alabama,,,,,
WINL,98.5,Linden,"Westburg Broadcasting Alabama, LLC",Country,Alabama,,,,,
WIRB,1490.0,Level Plains,"Fabiola Lev And Arik Lev, G. P.",Talk,Alabama,,,,,
WIXI,1360.0,Jasper,Richardson Broadcasting Corporation,"Rhythmic oldies, Blues, Gospel, and Talk",Alabama,,,,,
WIZB,94.3,Abbeville,"Radio Training Network, Inc.",Contemporary Christian,Alabama,,,,,
WJAB,90.9,Huntsville,Alabama A & M University,Jazz/Blues,Alabama,697.0,FM,ALABAMA A & M UNIVERSITY,LICENSED,Click for Details
WJAM,1340.0,Selma,"Scott Communications, Inc.",Urban adult contemporary,Alabama,,,,,
WJBE-FM,88.5,Five Points,Big South Community Broadcasting Inc.,Classic country,Alabama,,,,,
WJCK,88.3,Piedmont,"Immanuel Broadcasting Network, Inc.",Contemporary Christian,Alabama,,,,,
WJDB-FM,95.5,Thomasville,Griffin Broadcasting Corporation,Country,Alabama,,,,,
WJEC,106.5,Vernon,"Lamar County Broadcasting Co., Inc.",Southern gospel,Alabama,,,,,
WJGR-LP,97.1,Mobile,University of South Alabama,Variety,Alabama,,,,,
WJHF-LP,106.9,Florence,Jackson Heights Church of Christ,Gospel Broadcasting Network (GBN) programming,Alabama,,,,,
WJHO,89.7,Alexander City,Volunteer Broadcasting Inc.,Classic rock,Alabama,,,,,
WJIA,88.5,Guntersville,Lake City Broadcasting Inc.,Contemporary Christian,Alabama,,,,,
WJIF,91.9,Opp,Opp Educational B/CNG Foundation,Religious,Alabama,,,,,
WJIK,89.3,Fulton,"Family Worship Center Church, Inc.",Christian,Alabama,,,,,
WJJN,92.1,Columbia,"Wilson Broadcasting Co., Inc.",Hip Hop,Alabama,,,,,
WJLD,1400.0,Fairfield,Richardson Broadcasting Corporation,Urban oldies/Blues,Alabama,,,,,
WJLX,1240.0,Jasper,James D. Earley,Oldies,Alabama,,,,,
WJNZ,1000.0,Robertsdale,"Tri City Radio, LLC",Talk,Alabama,,,,,
WJOU,90.1,Huntsville,Oakwood University,Christian music,Alabama,,,,,
WJOX,690.0,Birmingham,"Radio License Holding CBC, LLC",Sports,Alabama,,,,,
WJOX-FM,94.5,Birmingham,"Radio License Holding CBC, LLC",Sports,Alabama,16901.0,FM,"RADIO LICENSE HOLDING CBC, LLC",LICENSED,Click for Details
WJQX,100.5,Helena,"Radio License Holding CBC, LLC",Sports,Alabama,,,,,
WJRD,1150.0,Tuscaloosa,"JRD, Inc.",Oldies,Alabama,,,,,
WJRL-FM,100.5,Slocomb,"Alabama Media, LLC",Active rock,Alabama,,,,,
WJTW,1480.0,Bridgeport,"Bridgeport, Inc.",Classic hits,Alabama,,,,,
WJUS,1310.0,Marion,Grace Baptist Temple Church,Urban gospel,Alabama,,,,,
WJUV,88.3,Cullman,La Promesa Foundation,Catholic,Alabama,,,,,
WJWZ,97.9,Wetumpka,Bluewater Broadcasting Company LLC,Urban contemporary,Alabama,,,,,
WJXI-LP,96.3,Jacksonville,Calhoun County 9-1-1 District,Emergency Info,Alabama,,,,,
WKAC,1080.0,Athens,"Limestone Broadcasting Company, Inc.","Classic hits, Talk",Alabama,,,,,
WKAX,1500.0,Russellville,"Sand Mountain Advertisting Co., Inc.",Spanish,Alabama,,,,,
WKCG-LP,99.1,Dothan,The Ordinary People Society,Variety,Alabama,,,,,
WKEA-FM,98.3,Scottsboro,"Southern Torch, Inc.",Country,Alabama,,,,,
WKEM-LP,98.5,Montgomery,Equality Broadcasting Network,Classic R&B,Alabama,,,,,
WKGA,97.5,Goodwater,"Lake Broadcasting, Inc.",Country,Alabama,,,,,
WKKR,97.7,Auburn,"iHM Licenses, LLC",Country,Alabama,,,,,
WKLF,1000.0,Clanton,WKLF LLC,Southern gospel,Alabama,,,,,
WKLS,105.9,Southside,"Williams Communications, Inc.",Mainstream rock,Alabama,,,,,
WKLV-FM,93.5,Butler,Educational Media Foundation,Contemporary Christian (K-Love),Alabama,,,,,
WKMX,106.7,Enterprise,"Gulf South Communications, Inc.",Top 40 (CHR),Alabama,,,,,
WKNG-FM,89.1,Heflin,"Covenant Communications, Inc.",Contemporary Christian,Alabama,,,,,
WKNU,106.3,Brewton,"Ellington Radio, Inc.",Country,Alabama,,,,,
WKRE,88.1,Argo,TBTA Ministries,Christian rock/Rap,Alabama,,,,,
WKSJ-FM,94.9,Mobile,"iHM Licenses, LLC",Country,Alabama,53145.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WKUA,88.5,Moundville,TBTA Ministries,Christian rock/Rap,Alabama,,,,,
WKUL,92.1,Cullman,Jonathan Christian Corp.,Country/Talk/Sports,Alabama,,,,,
WKWL,1230.0,Florala,"Florala Broadcasting Co., Inc.",Classic pop,Alabama,,,,,
WKXK,96.7,Pine Hill,"Autaugaville Radio, Inc.",Urban contemporary (WKXN),Alabama,,,,,
WKXM-FM,97.7,Winfield,Ad-Media Management Corp.,Oldies,Alabama,,,,,
WKXN,95.7,Fort Deposit,"Autaugaville Radio, Inc.",Urban contemporary (WKXK),Alabama,,,,,
WKXX,102.9,Attalla,Broadcast Media LLC,Sports,Alabama,,,,,
WKZJ,92.7,Eufaula,"Davis Broadcasting, Inc. of Columbus",Urban adult contemporary,Alabama,,,,,
WLAY,1450.0,Muscle Shoals,"Singing River Media Group, LLC",Country,Alabama,,,,,
WLAY-FM,100.1,Littleville,"Singing River Media Group, LLC",Country,Alabama,,,,,
WLBF,89.1,Montgomery,"Faith Broadcasting, Inc",Religious,Alabama,,,,,
WLDX,990.0,Fayette,"Dean Broadcasting, Inc.",Classic hits,Alabama,,,,,
WLGQ,91.5,Gadsden,Educational Media Foundation,Contemporary Christian (K-Love),Alabama,,,,,
WLJR,88.5,Birmingham,Briarwood Presbyterian Church,Religious,Alabama,,,,,
WLJS-FM,91.9,Jacksonville,"Board of Trustees, Jacksonville State University",Public/College radio,Alabama,,,,,
WLOR,1550.0,Huntsville,"Southern Stone Communications, LLC",TBA,Alabama,,,,,
WLPR,960.0,Prichard,"Goforth Media, Inc.",Southern gospel,Alabama,,,,,
WLRH,89.3,Huntsville,Alabama Educational Television Commission,Classical music/News,Alabama,719.0,FM,ALABAMA EDUCATIONAL TELEVISION COMMISSION,LICENSED,Click for Details
WLUG-LP,106.3,Anniston,"Center of Hope, Inc.",Contemporary Christian,Alabama,,,,,
WLVC-LP,93.3,Birmingham,Love Commandment Ministries,Silent,Alabama,,,,,
WLVM,98.3,Chickasaw,Educational Media Foundation,Contemporary Christian (K-Love),Alabama,,,,,
WLWE,1360.0,Roanoke,"Eagle's Nest, Inc.",Sports (WLAG),Alabama,,,,,
WLWI,1440.0,Montgomery,Cumulus Licensing LLC,News/Talk,Alabama,,,,,
WLWI-FM,92.3,Montgomery,Cumulus Licensing LLC,Country,Alabama,,,,,
WLXQ,99.1,Greensboro,Educational Media Foundation,Contemporary Christian (K-Love),Alabama,,,,,
WLXY-LP,96.9,Chelsea,Chelsea Community Radio,Classic hits,Alabama,,,,,
WLYB,96.3,Livingston,"Blackbelt Broadcasting, Inc.",Adult contemporary,Alabama,,,,,
WMBV,91.9,Dixons Mills,The Moody Bible Institute of Chicago,Religious,Alabama,,,,,
WMCJ,1460.0,Cullman,"Jimmy Dale Media, LLC",Sports (WFMH),Alabama,,,,,
WMFC,99.3,Monroeville,"Monroe Broadcasting Company, Inc.",Oldies,Alabama,,,,,
WMFT,88.9,Tuscaloosa,The Moody Bible Institute of Chicago,Religious,Alabama,,,,,
WMGJ,1240.0,Gadsden,Floyd L. Donald Broadcasting Co. Inc,Urban contemporary,Alabama,,,,,
WMGY,800.0,Montgomery,Terry L. Barber,Southern gospel,Alabama,,,,,
WMHZ,1340.0,Holt,"TTI, Inc",Classic rock,Alabama,,,,,
WMJJ,96.5,Birmingham,"iHM Licenses, LLC",Adult contemporary,Alabama,2111.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WMMA,1480.0,Irondale,La Promesa Foundation,Catholic,Alabama,,,,,
WMOB,1360.0,Mobile,"Buddy Tucker Association, Inc.",Silent,Alabama,,,,,
WMRK-FM,107.9,Shorter,"Alexander Broadcasting Company, LLC",Contemporary Christian (K-Love),Alabama,59383.0,FM,"ALEXANDER BROADCASTING COMPANY, LLC",LICENSED,Click for Details
WMSP,740.0,Montgomery,Cumulus Licensing LLC,Sports,Alabama,,,,,
WMWI,88.7,Demopolis,Miles College,College,Alabama,,,,,
WMXA,96.7,Opelika,"iHM Licenses, LLC",Hot adult contemporary,Alabama,,,,,
WMXB,1280.0,Tuscaloosa,"Lawson of Tuscaloosa, Inc.",Urban adult contemporary,Alabama,,,,,
WMXC,99.9,Mobile,"iHM Licenses, LLC",Hot adult contemporary,Alabama,8696.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WMXN-FM,101.7,Stevenson,"Southern Torch, Inc.",Classic hits,Alabama,,,,,
WMXS,103.3,Montgomery,Cumulus Licensing LLC,Adult contemporary,Alabama,,,,,
WNGL,1410.0,Mobile,"Archangel Communications, Inc.",Catholic,Alabama,,,,,
WNRA-LP,94.5,Hank Pride,Northern Alabama Historical Foundation,Country,Alabama,,,,,
WNSP,105.5,Bay Minette,"Dot Com Plus, LLC",Sports,Alabama,,,,,
WNTM,710.0,Mobile,"iHM Licenses, LLC",Talk,Alabama,,,,,
WNWF,1470.0,Evergreen,"Andala Enterprises, Inc.",News/Talk,Alabama,,,,,
WOAB,104.9,Ozark,"Dockins Communications, Inc.",Country,Alabama,,,,,
WOOF,560.0,Dothan,"WOOF, Inc.",Sports,Alabama,,,,,
WOOF-FM,99.7,Dothan,"WOOF, Inc.",Adult contemporary,Alabama,,,,,
WOPP,1290.0,Opp,"E & R Broadcasting, Inc.",Country/Oldies/Southern gospel,Alabama,,,,,
WOWB,90.9,Brewton,"Agape Educational Media, Inc.",Contemporary Christian,Alabama,,,,,
WOXI-LP,95.9,Oxford,Calhoun County 9-1-1 District,Emergency Info,Alabama,,,,,
WOZK,900.0,Ozark,"Dockins Communications, Inc.",Oldies,Alabama,,,,,
WPHH,93.5,Hope Hull,"Radio Training Network, Inc.",Contemporary Christian,Alabama,,,,,
WPID,1280.0,Piedmont,Piedmont Radio Co.,Adult contemporary,Alabama,,,,,
WPIL,91.7,Heflin,Down the Hill Communications,Southern gospel/Classic country/Bluegrass,Alabama,,,,,
WPJB-LP,93.3,Selma,People for Jesus Radio Broadcasting Company,Contemporary Christian,Alabama,,,,,
WPJN,89.3,Jemison,C W Johnson Education Foundation Inc.,Contemporary Christian,Alabama,,,,,
WPLX-LP,93.3,Pelham,North Shelby Community Radio,Classic hits,Alabama,,,,,
WPMR-LP,95.7,Russellville,Provision Ministry,Southern gospel,Alabama,,,,,
WPPG,101.1,Repton,Wolff Broadcasting Corporation,Country,Alabama,,,,,
WPYA,97.3,Gardendale,"SM-WZNN, LLC",Hot adult contemporary,Alabama,71417.0,FM,"SM-WZNN, LLC",LICENSED,Click for Details
WQAH-FM,105.7,Addison,"Abercrombie Broadcasting FM, Inc.",Country/Bluegrass,Alabama,,,,,
WQCR,1500.0,Alabaster,"Rivera Communications, LLC",Spanish Adult hits,Alabama,,,,,
WQEM,101.5,Columbiana,Glen Iris Baptist School,Religious,Alabama,,,,,
WQEN,103.7,Trussville,"iHM Licenses, LLC",Top 40 (CHR),Alabama,22997.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WQJJ-LP,101.9,Jasper,North Alabama Public Service Broadcasters,Classic hits,Alabama,,,,,
WQKS-FM,96.1,Montgomery,"Bluewater Broadcasting Company, LLC",Adult contemporary,Alabama,43628.0,FM,BLUEWATER BROADCASTING COMPANY LLC,LICENSED,Click for Details
WQLT-FM,107.3,Florence,Big River Broadcasting Corporation,Adult hits,Alabama,,,,,
WQNR,99.9,Tallassee,"Tiger Communications, Inc.",Adult hits,Alabama,,,,,
WQOH-FM,88.7,Springville,La Promesa Foundation,Catholic,Alabama,,,,,
WQPR,88.7,Muscle Shoals,University of Alabama,Public radio,Alabama,65441.0,FM,UNIVERSITY OF ALABAMA,LICENSED,Click for Details
WQRR,101.7,Reform,"Townsquare Media Tuscaloosa License, LLC",Alternative rock,Alabama,,,,,
WQRV,100.3,Meridianville,"iHM Licenses, LLC",Classic hits,Alabama,19456.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WQRX,870.0,Valley Head,Joy Christian Ministries,Silent,Alabama,,,,,
WQSB,105.1,Albertville,"Sand Mountain Broadcasting Service, Inc.",Country,Alabama,,,,,
WQSI,93.9,Union Springs,"Tiger Communications, Inc.",News/Talk,Alabama,,,,,
WQUA,102.1,Citronelle,"Family Worship Center Church, Inc.",Religious,Alabama,,,,,
WQXD-LP,97.9,Athens,Emmanuel Full Gospel Ministries,Christian country,Alabama,,,,,
WQZX,94.3,Greenville,"Haynes Broadcasting, Inc.",Country,Alabama,,,,,
WQZZ,107.3,Boligee,Mildred R. Porter,Urban contemporary,Alabama,,,,,
WRAB,1380.0,Arab,Fun Media Group of Alabama LLC,Country,Alabama,,,,,
WRBZ,1250.0,Wetumpka,"TBE, LLC",Classic hits,Alabama,,,,,
WRFS,105.1,Rockford,"Marble City Media, LLC",Classic hits,Alabama,,,,,
WRHP,100.1,Anniston,Anniston Seventh-Day Adventist Church,Christian talk,Alabama,,,,,
