call_sign,frequency,city,licensee,format,state,facility_id,service,licensee_call_sign_r,status,details
WNKW,1480.0,Neon,"Sunshine Media Group, LLC",Oldies,Kentucky,,,,,
WNLJ,91.7,Madisonville,"Pennyrile Christian Community, Inc.",Christian,Kentucky,,,,,
WNLW-LP,95.1,Williamsburg,"New Life Radio, Inc",Christian,Kentucky,,,,,
WNOP,740.0,Newport,"Sacred Heart Radio, Inc.",Catholic,Kentucky,,,,,
WNRW,98.9,Prospect,"iHM Licenses, LLC",Top 40 (CHR),Kentucky,60706.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WOKH,102.7,Springfield,"Bardstown Radio Team, LLC",Adult contemporary,Kentucky,,,,,
WOKT,1080.0,Cannonsburg,"Big River Radio, Inc.",Christian talk,Kentucky,,,,,
WOMI,1490.0,Owensboro,"Townsquare Media of Evansville/Owensboro, Inc.",News/Talk,Kentucky,,,,,
WOPW-LP,93.3,Mount Vernon,Central Baptist Church,Religious Teaching,Kentucky,,,,,
WOVO,106.3,Horse Cave,"Soky Radio, LLC",Adult contemporary,Kentucky,48702.0,FM,"SOKY RADIO, LLC",LICENSED,Click for Details
WPAD,1560.0,Paducah,"Bristol Broadcasting Company, Inc.",Sports,Kentucky,,,,,
WPBK,102.9,Crab Orchard,"Radioactive, LLC",Variety,Kentucky,,,,,
WPDQ,91.3,Scottsville,"Southern Wabash Communications of Middle Tennessee, Inc.",Classic hits,Kentucky,,,,,
WPJI-LP,94.9,Hopkinsville,"Pilgrims Journey, Inc.",Christian,Kentucky,,,,,
WPJP-LP,100.7,Madisonville,"Christ the King School Scholarship/Endowment Fund, Inc.",Catholic,Kentucky,,,,,
WPKE,1240.0,Pikeville,Mountain Top Media LLC,Classic hits,Kentucky,,,,,
WPKE-FM,103.1,Coal Run,Mountain Top Media LLC,Classic rock,Kentucky,,,,,
WPKY,1580.0,Princeton,"Ham Broadcasting Company, Inc.",Classic hits,Kentucky,,,,,
WPRT,960.0,Prestonsburg,Mountain Top Media LLC,Sports,Kentucky,,,,,
WPTJ,90.7,Paris,Somerset Educational Broadcasting Foundation,Contemporary Christian,Kentucky,,,,,
WPTQ,105.3,Glasgow,"Newberry Broadcasting, Inc.",Classic rock,Kentucky,,,,,
WQEZ,1370.0,Fort Campbell,"Saga Communications of Tuckessee, LLC",Soft adult contemporary,Kentucky,,,,,
WQHY,95.5,Prestonsburg,"WDOC, Inc.",Top 40 (CHR),Kentucky,,,,,
WQNU,103.1,Lyndon,"SM-WQNU, LLC",Country,Kentucky,20332.0,FM,"SM-WQNU, LLC",LICENSED,Click for Details
WQXE,98.3,Elizabethtown,"Skytower Communications-E'Town, Inc.",Hot adult contemporary,Kentucky,,,,,
WREF,97.7,Sebree,"Henson Media of Henderson County, LLC",Sports,Kentucky,,,,,
WRFL,88.1,Lexington,"Board of Trustees, University of Kentucky",College,Kentucky,,,,,
WRFM,103.9,Drakesboro,"Nashville's Sportsradio, Incorporated",Sports,Kentucky,,,,,
WRHR-LP,95.3,Corbin,Corbin Public Schools,Variety,Kentucky,,,,,
WRIL,106.3,Pineville,"Pine Hills Broadcasting, Inc.",Top 40 (CHR),Kentucky,,,,,
WRJJ,104.3,La Center,Janet Jensen,'80s hits,Kentucky,,,,,
WRKA,103.9,Louisville,"SM-WRKA, LLC",Urban adult contemporary,Kentucky,,,,,
WRLV-FM,106.5,Salyersville,"Morgan County Industries, Inc.",Country,Kentucky,,,,,
WRND,94.3,Oak Grove,"Saga Communications of Tuckessee, LLC",Adult hits,Kentucky,,,,,
WRNZ,105.1,Lancaster,"Hometown Broadcasting of Lancaster, Inc.",Hot adult contemporary,Kentucky,,,,,
WRUS,610.0,Russellville,Logan Radio Incorporated,Country,Kentucky,,,,,
WRVG-LP,93.7,Georgetown,Georgetown College,Top 40's during the day & Oldies Overnight,Kentucky,,,,,
WRVK,1460.0,Mount Vernon,"Saylor Broadcasting, Inc.",Full service,Kentucky,,,,,
WRZI,107.3,Hodgenville,"Elizabethtown CBC, Inc.",Classic rock,Kentucky,,,,,
WSDF,100.5,Louisville,"iHM Licenses, LLC",Adult hits,Kentucky,53593.0,FM,"IHM LICENSES, LLC",LICENSED,Click for Details
WSEK,910.0,Burnside,"iHM Licenses, LLC",Classic country,Kentucky,,,,,
WSEK-FM,93.9,Burnside,"iHM Licenses, LLC",Country,Kentucky,,,,,
WSFC,1240.0,Somerset,"iHM Licenses, LLC",News/Talk,Kentucky,,,,,
WSGJ-LP,92.1,Bowling Green,"Columbus Club, Inc.",Catholic,Kentucky,,,,,
WSGP,88.3,Glasgow,Somerset Educational Broadcasting Foundation,Religious,Kentucky,,,,,
WSGS,101.1,Hazard,"Mountain Broadcasting Service, Inc.",Country,Kentucky,,,,,
WSIP,1490.0,Paintsville,"S.I.P. Broadcasting Company, Inc.",Oldies,Kentucky,,,,,
WSIP-FM,98.9,Paintsville,"S.I.P. Broadcasting Company, Inc.",Country,Kentucky,,,,,
WSKV-FM,104.9,Stanton,"Moore Country 104, LLC",Country/Full service,Kentucky,,,,,
WSOF,89.9,Madisonville,Madisonville Baptist Temple Inc.,Christian,Kentucky,39596.0,FM,MADISONVILLE BAPTIST TEMPLE INC.,LICENSED,Click for Details
WSON,860.0,Henderson,"Jenson Media of Henderson County, LLC",Classic hits,Kentucky,,,,,
WSPP-LP,93.5,Hopkinsville,Immaculate Heart Radio Association,Catholic,Kentucky,,,,,
WSTO,96.1,Owensboro,"Midwest Communications, Inc.",Top 40 (CHR),Kentucky,,,,,
WTBK,105.7,Manchester,Choice Radio Corporation,Country,Kentucky,,,,,
WTCO,1450.0,Campbellsville,Tri-County Radio Broadcasting Corp.,Rock,Kentucky,,,,,
