gutenberg_id,subject_type,subject
1989,lcsh,English language -- Semantics -- Humor
40037,lcsh,Fort Duquesne (Pa.) -- History
52015,lcsh,Buddhism
41445,lcsh,Horror tales
31343,lcc,PS
8837,lcsh,Bible. Ephesians
70392,lcc,PS
15575,lcsh,"Children's stories, English"
27974,lcc,PZ
23835,lcsh,"China -- History -- Tang dynasty, 618-907 -- Fiction"
76004,lcsh,"Freud, Sigmund, 1856-1939"
56746,lcsh,Aeronautics -- Juvenile fiction
15838,lcsh,American periodicals
57974,lcsh,Home missions -- Periodicals
25293,lcsh,"Rutgers, Henry, 1745-1830"
17913,lcsh,Boarding schools -- Fiction
71012,lcc,PZ
45519,lcc,E456
54414,lcsh,"Massachusetts -- History -- New Plymouth, 1620-1691 -- Poetry"
38445,lcsh,Havana (Cuba) -- Description and travel
48601,lcsh,Miners in art
45481,lcc,BX
30272,lcsh,"Children's stories, English"
74558,lcsh,Voyages and travels -- Early works to 1800
33414,lcc,PQ
72280,lcsh,Girls -- Conduct of life -- Juvenile fiction
1639,lcc,PQ
10972,lcsh,"World War, 1914-1918 -- Russia (Federation) -- Siberia"
2850,lcc,DS
58701,lcsh,English fiction -- 19th century
64250,lcc,QL
1350,lcsh,French fiction -- Translations into English
10791,lcc,PR
26381,lcsh,United States. Army -- Juvenile fiction
13945,lcsh,Europe -- Description and travel
61275,lcsh,Insects
29741,lcc,AP
28763,lcc,PS
16878,lcsh,Bible. Revelation -- Prophecies
65553,lcsh,"French, Joseph (Fictitious character) -- Fiction"
23900,lcsh,"World War, 1914-1918 -- Poetry"
29483,lcsh,Conduct of life -- Juvenile fiction
62666,lcc,DA
48276,lcsh,World history -- Juvenile literature
32741,lcc,PA
17243,lcsh,Rats -- Control
1403,lcc,PQ
40038,lcsh,Tonto (Fictitious character) -- Juvenile fiction
65832,lcc,PT
7120,lcsh,Supernatural -- Fiction
38896,lcsh,Imaginary places -- Juvenile fiction
27082,lcc,PL
54085,lcc,PQ
22345,lcsh,"Napoleon I, Emperor of the French, 1769-1821 -- Elba and the Hundred Days, 1814-1815"
42930,lcc,B
26304,lcsh,Short stories
44505,lcc,E151
3686,lcc,E456
51500,lcsh,Milling machinery -- Catalogs
21187,lcc,PZ
1226,lcsh,Psychology -- Periodicals
15186,lcc,GR
43353,lcc,PS
57117,lcsh,"Ford, Henry, 1863-1947"
27878,lcc,DC
25421,lcsh,Conduct of life -- Early works to 1900
70350,lcc,RX
57555,lcsh,"Lincoln, Abraham, 1809-1865 -- Childhood and youth"
49137,lcsh,Amusements
25036,lcsh,Wyandot Indians
72474,lcsh,Sailors -- Fiction
73198,lcsh,England -- Fiction
3725,lcsh,Europe -- Biography
14751,lcc,PQ
56077,lcsh,Fiancés -- Fiction
63989,lcc,PS
19378,lcc,DS
32051,lcsh,"World War, 1914-1918 -- Personal narratives, British"
6542,lcsh,"Frankenstein, Victor (Fictitious character) -- Fiction"
21006,lcsh,Europe -- Politics and government
23337,lcsh,Science fiction
43975,lcc,PS
69299,lcc,PS
25531,lcc,PS
75285,lcsh,Greece -- In literature
72302,lcsh,Science fiction
58779,lcsh,Shipwreck victims -- Fiction
70014,lcsh,Colors
5248,lcc,PS
8918,lcsh,"Authors, English -- 18th century -- Biography"
75246,lcsh,Wealth -- Drama
60865,lcsh,Voyages and travels
30529,lcsh,Rural schools -- United States
74860,lcsh,Norway -- Fiction
71558,lcsh,American essays -- 19th century
21833,lcsh,"World War, 1914-1918 -- Great Britain"
26289,lcsh,Wilderness areas -- Massachusetts -- Walden Woods
51373,lcsh,French fiction -- 20th century
7091,lcc,F850.5
66886,lcc,T
60978,lcsh,Philadelphia (Pa.) -- Fiction
65721,lcsh,"France -- History -- House of Valois, 1328-1589"
59212,lcc,QB
33907,lcsh,American drama
1617,lcsh,"Paranormal fiction, American"
53477,lcsh,Nature (Aesthetics)
4052,lcsh,Sermons -- Australia -- 18th century
69664,lcsh,Railroad law -- Canada
42098,lcsh,Glass painting and staining
31258,lcsh,"United States. Army. New York Infantry Regiment, 23rd (1861-1863)"
13923,lcsh,Table service
