x1,title,subtitle,image,author,publication,year,month,day,reading_time,claps,url,author_url,tag_ai,tag_artificial_intelligence,tag_big_data,tag_data,tag_data_science,tag_data_visualization,tag_deep_learning,tag_machine_learning
89,Shout and squeal,"Theyre mine, all three of them, I paid for them, I own them, my sweet concubines, all young and sad, pretty, perfect, hyperreal sensation, full lips, pale skin, jet black hair, little outfits, tiny feet, legs spread, socks to their calves, short skirt, nothing under, I saved up, paid for all of",0,Brian S Hall,,2017,8,3,2,0.0,https://medium.com/@brianshall_84472/shout-and-squeal-bded8a44865d,https://medium.com/@brianshall_84472,1,0,0,0,0,0,0,0
92,Rpondre  nimporte quelle question .,Commentaire darticle S01E01 (Facebook FAIR),1,Maxence Pastor,,2017,8,3,2,50.0,https://medium.com/@maxpastor/ia-r%C3%A9pondre-%C3%A0-nimporte-quelle-question-de-mani%C3%A8re-automatique-commentaire-d-article-s01e01-b227a32ce845,https://medium.com/@maxpastor,1,0,0,0,0,0,0,0
98,Why Flash really died,"By Larry Velez, co-founder & CTO",0,Sinu,,2017,8,3,3,0.0,https://medium.com/@sinu/why-flash-really-died-3c7afc45acc3,https://medium.com/@sinu,1,0,0,0,0,0,0,0
101,Cheaper than a dog,She tried again.,0,Brian S Hall,,2017,8,3,1,0.0,https://medium.com/@brianshall_84472/cheaper-than-a-dog-8b722f0fc472,https://medium.com/@brianshall_84472,1,0,0,0,0,0,0,0
106,"30 Days with My Chatbot Therapist, Woebot","By now, you might have heard about Woebot, a newly-launched chatbot that relies on",1,Jennifer Jope,,2017,8,4,6,186.0,https://medium.com/@jenjope/30-days-with-my-chatbot-therapist-woebot-21d08552e7e6,https://medium.com/@jenjope,1,0,0,0,0,0,0,0
108,iTranslate Converse,An attempt to create a speech translation App that actually works.,1,Alexander Marktl,iTranslate,2017,8,4,3,33.0,https://blog.itranslate.com/itranslate-converse-5e8d4b40b8c2,https://blog.itranslate.com/@alexmarktl,1,0,0,0,0,0,0,0
109,Get Booked under IPC 353 for calling an IAS Officer a Public Servant on UN Public Service Day !!! Case in Point Ms,,1,Raghav Mittal,,2017,8,4,16,1.0,https://medium.com/@raghav4india/fir-against-ms-yeshu-rustagi-ias-2012-up-cadre-cdo-mathura-6674a3903154,https://medium.com/@raghav4india,1,0,0,0,0,0,0,0
118,Augmented Reality Check: Get Ready to Ditch Your Smartphone for Goggles,,1,AltexSoft Inc,,2017,8,4,18,0.0,https://medium.com/@AltexSoft/augmented-reality-check-get-ready-to-ditch-your-smartphone-for-goggles-21a81a5a83af,https://medium.com/@AltexSoft,1,0,0,0,0,0,0,0
121,AI and the Tree of Life,Why?,0,Brian S Hall,,2017,8,4,3,0.0,https://medium.com/@brianshall_84472/ai-and-the-tree-of-life-673726dee5dd,https://medium.com/@brianshall_84472,1,0,0,0,0,0,0,0
124,,,1,shenzhenware,,2017,8,4,2,1.0,https://medium.com/@ShenzhenWare/%E5%BE%9E%E6%A6%82%E5%BF%B5%E5%88%B0%E9%87%8F%E7%94%A2%E5%8F%AA%E7%94%A8%E4%BA%86%E4%B8%89%E5%80%8B%E6%9C%88-%E5%A3%B9%E5%80%8B%E4%BA%92%E8%81%AF%E7%B6%B2%E7%89%B9%E8%89%B2%E7%9A%84%E7%A1%AC%E4%BB%B6%E5%89%B5%E6%96%B0%E6%95%85%E4%BA%8B-29f74e0d2358,https://medium.com/@ShenzhenWare,1,0,0,0,0,0,0,0
128,"Facebook closed down their AI chatbot. Well, Yes and No.",This month started with an interesting news from technology world. That Facebook is shutting down an AI project as the chatbots that are created as part of the project developed their own communication language. Half truth it is,0,Robin Alex Panicker,,2017,8,4,1,0.0,https://medium.com/@robin_a_p/facebook-closed-down-their-ai-chatbot-well-yes-and-no-1e7e39ad6f5b,https://medium.com/@robin_a_p,1,0,0,0,0,0,0,0
129,RetailPulse #3,RetailPulse is a weekly digest focusing on the future of the retail industry. This weekly,0,David Rivier,,2017,8,4,4,0.0,https://medium.com/@davidrivier/retailpulse-3-30ca26e027f8,https://medium.com/@davidrivier,1,0,0,0,0,0,0,0
