year,icpsr_state_code,alphanumeric_state_code,state,votes,eligible_voters
2014,0,0,United States,83262122.0,227157964
2014,41,1,Alabama,1191274.0,3588783
2014,81,2,Alaska,285431.0,520562
2014,61,3,Arizona,1537671.0,4510186
2014,42,4,Arkansas,852642.0,2117881
2014,71,5,California,7513972.0,24440416
2014,62,6,Colorado,2080071.0,3800664
2014,1,7,Connecticut,1096556.0,2577311
2014,11,8,Delaware,238110.0,681526
2014,55,9,District of Columbia,177176.0,495899
2014,43,10,Florida,6026802.0,13914216
2014,44,11,Georgia,2596947.0,6725041
2014,82,12,Hawaii,369554.0,1012123
2014,63,13,Idaho,445307.0,1119882
2014,21,14,Illinois,3680417.0,9028752
2014,22,15,Indiana,1387622.0,4829510
2014,31,16,Iowa,1142284.0,2269179
2014,32,17,Kansas,887023.0,2048164
2014,51,18,Kentucky,1459409.0,3247300
2014,45,19,Louisiana,1503975.0,3349433
2014,2,20,Maine,616996.0,1051557
2014,52,21,Maryland,1745104.0,4154546
2014,3,22,Massachusetts,2186789.0,4896296
2014,23,23,Michigan,3188956.0,7383958
2014,33,24,Minnesota,1992613.0,3935121
2014,46,25,Mississippi,,2181131
2014,34,26,Missouri,1509025.0,4493722
2014,64,27,Montana,373831.0,787748
2014,35,28,Nebraska,552115.0,1334453
2014,65,29,Nevada,552546.0,1867644
2014,4,30,New Hampshire,495565.0,1025862
2014,12,31,New Jersey,1955042.0,6014127
2014,66,32,New Mexico,,1449503
2014,13,33,New York,3930310.0,13553426
2014,47,34,North Carolina,2939767.0,7143737
2014,36,35,North Dakota,255128.0,567221
2014,24,36,Ohio,3149876.0,8701243
2014,53,37,Oklahoma,825607.0,2755091
2014,72,38,Oregon,1541782.0,2887517
2014,14,39,Pennsylvania,3535576.0,9689491
2014,5,40,Rhode Island,329212.0,776286
2014,48,41,South Carolina,1261611.0,3584461
2014,37,42,South Dakota,282291.0,630989
2014,54,43,Tennessee,1430117.0,4799476
2014,49,44,Texas,,16675420
2014,67,45,Utah,577973.0,1905801
2014,6,46,Vermont,202445.0,495884
2014,40,47,Virginia,2194346.0,5962456
2014,73,48,Washington,2123901.0,4928407
2014,56,49,West Virginia,462864.0,1447652
2014,25,50,Wisconsin,2422248.0,4260427
2014,68,51,Wyoming,171153.0,431434
2012,0,0,United States,130292355.0,222474111
2012,41,1,Alabama,,3539217
2012,81,2,Alaska,301694.0,511792
2012,61,3,Arizona,2323579.0,4387900
2012,42,4,Arkansas,1078548.0,2109847
2012,71,5,California,13202158.0,23681837
2012,62,6,Colorado,2596173.0,3675871
2012,1,7,Connecticut,1560640.0,2543202
2012,11,8,Delaware,,663967
2012,55,9,District of Columbia,294254.0,477582
2012,43,10,Florida,8538264.0,13495057
2012,44,11,Georgia,3919355.0,6606607
2012,82,12,Hawaii,437159.0,982902
2012,63,13,Idaho,666290.0,1091410
2012,21,14,Illinois,5279752.0,8899143
2012,22,15,Indiana,2663368.0,4755291
2012,31,16,Iowa,1589951.0,2251748
2012,32,17,Kansas,1182771.0,2030686
2012,51,18,Kentucky,1815843.0,3229185
2012,45,19,Louisiana,2014548.0,3311626
2012,2,20,Maine,724758.0,1046008
2012,52,21,Maryland,2734062.0,4063582
2012,3,22,Massachusetts,3184196.0,4809675
2012,23,23,Michigan,4780701.0,7312725
2012,33,24,Minnesota,2950780.0,3861598
2012,46,25,Mississippi,,2166825
2012,34,26,Missouri,,4432957
2012,64,27,Montana,491966.0,774476
2012,35,28,Nebraska,804245.0,1316915
2012,65,29,Nevada,1016664.0,1800969
2012,4,30,New Hampshire,718700.0,1013420
2012,12,31,New Jersey,3683638.0,5918182
2012,66,32,New Mexico,786522.0,1436363
2012,13,33,New York,7128852.0,13324107
2012,47,34,North Carolina,4542488.0,6947954
2012,36,35,North Dakota,325564.0,539164
2012,24,36,Ohio,5632423.0,8649495
2012,53,37,Oklahoma,,2713268
2012,72,38,Oregon,1820507.0,2836101
2012,14,39,Pennsylvania,,9651432
2012,5,40,Rhode Island,,768918
