label,value_millions,color_role
"Pokémon lifetime franchise revenue ($91B)",91000,highlight
"Median single film, domestic gross ($25.53M, horror-tagged file)",25.53,secondary
"Largest single Leto-slate budget (Tron: Ares, $220M)",220,dark
