title,ratio,below_breakeven
"Morbius (2022)",2.02,FALSE
"House of Gucci (2021)",2.04,FALSE
"The Little Things (2021)",1.03,FALSE
"Haunted Mansion (2023)",0.79,TRUE
"Masters of the Universe (2026)",0.66,TRUE
"Tron: Ares (2025)",0.65,TRUE
