camis,dba,boro,zipcode,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type,_art_year
40391979,SUTTON CAFE RESTAURANT,MANHATTAN,10022.0,American,03/24/2017,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,12.0,A,Cycle Inspection / Initial Inspection,2017
50008955,AZASU,MANHATTAN,10002.0,Japanese,09/19/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,Cycle Inspection / Re-inspection,2018
40694187,GARY AND GINO'S,BRONX,10467.0,Pizza,03/02/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,A,Cycle Inspection / Initial Inspection,2016
41076314,MELBA'S,MANHATTAN,10026.0,American,02/28/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,30.0,C,Cycle Inspection / Re-inspection,2018
50038837,DUSK TILL DAWN,BROOKLYN,11212.0,Caribbean,04/05/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,23.0,,Cycle Inspection / Initial Inspection,2018
41682200,PEKING TASTE,STATEN ISLAND,10312.0,Chinese,07/31/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,,Cycle Inspection / Initial Inspection,2017
41411423,BEST PIZZA,BROOKLYN,11211.0,Pizza,04/11/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,7.0,,Cycle Inspection / Initial Inspection,2015
50053882,MAHJI,BROOKLYN,11211.0,Korean,12/03/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,2.0,A,Pre-permit (Operational) / Re-inspection,2016
40790306,STARBUCKS,QUEENS,11356.0,CafÃ©/Coffee/Tea,01/22/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,Cycle Inspection / Initial Inspection,2016
50033122,PARTY WELL RESTAURANT & ORIENTAL BAKERY,QUEENS,11355.0,Korean,02/03/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,40.0,,Cycle Inspection / Initial Inspection,2016
50000522,JUST SALAD,MANHATTAN,10028.0,Salads,01/02/2018,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7.0,A,Cycle Inspection / Initial Inspection,2018
40535383,ADRIA HOTEL,QUEENS,11361.0,American,04/12/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,Cycle Inspection / Re-inspection,2016
50048628,DA CIRO BROOKLYN TRATTORIA & PIZZERIA,BROOKLYN,11205.0,Other,08/18/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11.0,A,Cycle Inspection / Initial Inspection,2016
50046581,CHOCOLATE EXPRESSO BAR,BROOKLYN,11213.0,CafÃ©/Coffee/Tea,08/16/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,41.0,,Pre-permit (Operational) / Initial Inspection,2016
50010102,DAIRY QUEEN GRILL & CHILL,MANHATTAN,10011.0,Sandwiches,09/29/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,33.0,,Cycle Inspection / Initial Inspection,2016
41548430,MESA AZTECA,BROOKLYN,11237.0,Mexican,10/26/2015,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,32.0,C,Cycle Inspection / Re-inspection,2015
41463477,DUNKIN' DONUTS,STATEN ISLAND,10310.0,Donuts,09/02/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18.0,B,Cycle Inspection / Re-inspection,2015
50063745,CACHAPA'S BROOKLYN,BROOKLYN,11207.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",05/19/2017,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,8.0,,Pre-permit (Non-operational) / Initial Inspection,2017
41011887,THE CITY BAKERY,MANHATTAN,10011.0,American,08/14/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,52.0,,Cycle Inspection / Initial Inspection,2017
40393977,TONY'S PIZZA II,BROOKLYN,11212.0,Pizza/Italian,11/10/2016,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,11.0,A,Cycle Inspection / Re-inspection,2016
41385384,MIMI'S HUMMUS,BROOKLYN,11218.0,Middle Eastern,05/18/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,47.0,,Cycle Inspection / Initial Inspection,2017
41237535,PAPA JOHN'S,BROOKLYN,11236.0,Pizza,02/07/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,Cycle Inspection / Initial Inspection,2018
50034452,BONO TRATTORIA,MANHATTAN,10031.0,Italian,08/23/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18.0,,Cycle Inspection / Initial Inspection,2018
50078963,RONNIE'S SANDWICH SHOPPE,STATEN ISLAND,10306.0,Delicatessen,09/18/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,Pre-permit (Operational) / Initial Inspection,2018
40515448,FREDDIE & PEPPER'S PIZZA,MANHATTAN,10023.0,Pizza,06/28/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,25.0,,Cycle Inspection / Initial Inspection,2016
50076091,ESAN,BROOKLYN,11229.0,Thai,06/13/2018,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,Trans Fat / Initial Inspection,2018
40568734,BLEECKER STREET BAR,MANHATTAN,10012.0,American,09/12/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,Cycle Inspection / Initial Inspection,2018
40425000,PATMAR BAKE SHOP,QUEENS,11412.0,Caribbean,07/02/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,Cycle Inspection / Re-inspection,2018
50054551,BURGER KING/POPEYES,BRONX,10458.0,Hamburgers,07/03/2018,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,,,Administrative Miscellaneous / Initial Inspection,2018
50009340,SUSHI YU,BROOKLYN,11215.0,Japanese,08/09/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23.0,,Cycle Inspection / Initial Inspection,2016
41004578,BETTOLA,MANHATTAN,10024.0,Italian,02/17/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,9.0,A,Cycle Inspection / Re-inspection,2016
41512966,CHINA WOK,MANHATTAN,10037.0,Chinese,08/17/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17.0,,Cycle Inspection / Initial Inspection,2017
41047105,LIBRETTO'S PIZZERIA,MANHATTAN,10016.0,American,02/04/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,16.0,,Cycle Inspection / Initial Inspection,2016
41547298,FRAUNCES TAVERN,MANHATTAN,10004.0,American,11/14/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10.0,A,Cycle Inspection / Re-inspection,2016
50047418,CHEZ MATY ET SOKHNA,MANHATTAN,10027.0,African,11/28/2016,Violations were cited in the following area(s).,22F,,Not Applicable,25.0,,Cycle Inspection / Initial Inspection,2016
50069838,"FOREVER JERK, LLC",QUEENS,11434.0,Caribbean,10/31/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,Cycle Inspection / Re-inspection,2018
41598329,BOSTON ROAD CHINA,BRONX,10469.0,Chinese,01/23/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20.0,B,Cycle Inspection / Re-inspection,2018
50032828,POKITO,BROOKLYN,11211.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",07/06/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,Cycle Inspection / Re-inspection,2016
41368926,VINEGAR HILL HOUSE,BROOKLYN,11201.0,American,07/29/2017,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,,,Administrative Miscellaneous / Initial Inspection,2017
50075593,SUMELA TO GO,BROOKLYN,11201.0,Turkish,07/12/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,31.0,C,Pre-permit (Operational) / Re-inspection,2018
41017592,KIMGANAE RESTAURANT,QUEENS,11354.0,Korean,12/29/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12.0,A,Cycle Inspection / Re-inspection,2016
50056947,TAVERN 62,MANHATTAN,10065.0,American,03/27/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,34.0,,Pre-permit (Operational) / Initial Inspection,2017
41405163,OASIS CAFE,BROOKLYN,11235.0,Polish,02/25/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12.0,A,Cycle Inspection / Initial Inspection,2016
50056889,CHINA DRAGON,BROOKLYN,11226.0,Chinese,05/07/2018,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,28.0,,Cycle Inspection / Initial Inspection,2018
40375108,TURKEY'S NEST TAVERN,BROOKLYN,11249.0,American,05/03/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12.0,A,Cycle Inspection / Re-inspection,2018
40386976,LUPE'S EAST L.A. KITCHEN,MANHATTAN,10013.0,Mexican,02/02/2018,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,26.0,,Cycle Inspection / Initial Inspection,2018
41568332,THE DUCK,MANHATTAN,10029.0,American,10/13/2016,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,Smoke-Free Air Act / Initial Inspection,2016
50032701,KUU,MANHATTAN,10038.0,Japanese,08/18/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,23.0,,Cycle Inspection / Initial Inspection,2015
41611381,"BURGER KING, POPEYES LOUISIANA KITCHEN",BROOKLYN,11209.0,Hamburgers,08/11/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,Cycle Inspection / Initial Inspection,2016
41198475,CHINA KETTLE RESTAURANT,BROOKLYN,11234.0,Chinese,04/13/2015,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,41.0,,Cycle Inspection / Initial Inspection,2015
50053457,CLAUDIO'S,MANHATTAN,10001.0,Pizza/Italian,02/24/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,Cycle Inspection / Re-inspection,2017
50001732,KING WOK,QUEENS,11358.0,Chinese,01/11/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12.0,A,Cycle Inspection / Initial Inspection,2018
41296368,IL PASSATORE,BROOKLYN,11211.0,Italian,03/03/2018,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,12.0,A,Cycle Inspection / Re-inspection,2018
50014417,SHU HAN JU AUTHENTIC CHINESE CUISINE,MANHATTAN,10011.0,Chinese,02/24/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2.0,,Cycle Inspection / Initial Inspection,2015
41037278,FIGAROLA PIZZERIA,MANHATTAN,10065.0,Pizza,10/07/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,Cycle Inspection / Re-inspection,2015
50046034,LEO'S PIZZA,BROOKLYN,11224.0,Pizza,11/08/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27.0,,Cycle Inspection / Initial Inspection,2018
40610000,HOP LEE KITCHEN,BROOKLYN,11222.0,Chinese,03/22/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19.0,,Cycle Inspection / Initial Inspection,2018
50069127,SHERMAN'S,MANHATTAN,10002.0,Greek,11/24/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,Pre-permit (Operational) / Re-inspection,2017
50040685,SHANG SHANG QIAN,QUEENS,11354.0,Chinese,09/09/2016,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20.0,,Cycle Inspection / Initial Inspection,2016
50070322,INDIAN CURRY HEIGHTS,BROOKLYN,11221.0,Indian,10/23/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04M,Live roaches present in facility's food and/or non-food areas.,Critical,60.0,,Cycle Inspection / Initial Inspection,2018
41112888,S & A WEST INDIAN RESTAURANT,QUEENS,11417.0,Caribbean,09/13/2017,No violations were recorded at the time of this inspection.,,,Not Applicable,,,Trans Fat / Initial Inspection,2017
41417854,DUNKIN' DONUTS,BROOKLYN,11235.0,Donuts,04/03/2018,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,11.0,A,Cycle Inspection / Initial Inspection,2018
50042387,RUSS & DAUGHTERS AT THE JEWISH MUSEUM,MANHATTAN,10128.0,Jewish/Kosher,02/13/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13.0,A,Cycle Inspection / Re-inspection,2018
50072616,SIDEWALK CAFE,MANHATTAN,10023.0,American,08/10/2018,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,12.0,A,Cycle Inspection / Initial Inspection,2018
40939317,PITA PAN,BROOKLYN,11215.0,Middle Eastern,02/15/2018,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,12.0,A,Cycle Inspection / Re-inspection,2018
50038633,QUAN SUSHI & GRILL,MANHATTAN,10013.0,Japanese,06/10/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,24.0,,Cycle Inspection / Initial Inspection,2016
40369482,ARMANDO'S PIZZA,BROOKLYN,11239.0,Pizza,05/16/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23.0,,Cycle Inspection / Initial Inspection,2016
41655550,ETHOS GALLERY,MANHATTAN,10022.0,Greek,10/05/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,50.0,,Cycle Inspection / Initial Inspection,2016
50046082,LOS BUCAROS,QUEENS,11435.0,Spanish,03/01/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,21.0,B,Pre-permit (Operational) / Re-inspection,2016
50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,10003.0,American,03/09/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22.0,,Cycle Inspection / Initial Inspection,2017
40370436,ROSSINI'S,MANHATTAN,10016.0,Italian,09/06/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,21.0,,Cycle Inspection / Initial Inspection,2016
50045670,DOMINO'S,BROOKLYN,11225.0,Pizza,04/17/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24.0,B,Cycle Inspection / Re-inspection,2018
41698003,EAST VILLAGE SOCIAL,MANHATTAN,10009.0,American,04/12/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,18.0,,Cycle Inspection / Initial Inspection,2017
50073116,TABLE 866 @ COURTYARD MARRIOTT,MANHATTAN,10022.0,American,02/23/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,Pre-permit (Operational) / Initial Inspection,2018
41530881,MARCO POLO PIZZA & DELI,MANHATTAN,10128.0,Delicatessen,02/06/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,Cycle Inspection / Re-inspection,2017
50008660,FORTUNE GARDEN CHINESE RESTAURANT,QUEENS,11358.0,Chinese,02/07/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,Cycle Inspection / Initial Inspection,2018
50078666,DUCK WONG,BROOKLYN,11214.0,Chinese,08/30/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,19.0,B,Pre-permit (Operational) / Re-inspection,2018
40369012,VALENTINO'S PIZZA,QUEENS,11367.0,Pizza/Italian,08/06/2016,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,14.0,,Cycle Inspection / Initial Inspection,2016
50043946,TRUBURGER,QUEENS,11417.0,American,05/09/2018,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,11.0,A,Cycle Inspection / Re-inspection,2018
50046492,I LAND FISH & GRILL,BROOKLYN,11236.0,Caribbean,07/16/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,30.0,C,Cycle Inspection / Re-inspection,2018
41592302,GEMINIS II RESTAURANT,BROOKLYN,11206.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/10/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,7.0,A,Cycle Inspection / Re-inspection,2017
50016854,BOCCA BLISS,MANHATTAN,10017.0,American,03/13/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,57.0,,Cycle Inspection / Re-inspection,2018
40720832,LEONIDAS,MANHATTAN,10004.0,CafÃ©/Coffee/Tea,07/03/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,Cycle Inspection / Initial Inspection,2017
41315553,MEDINA FRIED CHICKEN & INDIAN CUISINE,QUEENS,11416.0,American,12/22/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,Cycle Inspection / Initial Inspection,2016
40936721,EL PAISA BAR,QUEENS,11372.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",05/13/2015,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,Trans Fat / Initial Inspection,2015
50054289,IGLOO ROLLS,QUEENS,11368.0,"Ice Cream, Gelato, Yogurt, Ices",01/16/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16.0,,Cycle Inspection / Initial Inspection,2018
50015759,GRAND SICHUAN,QUEENS,11374.0,Chinese,05/15/2017,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,6.0,,Cycle Inspection / Initial Inspection,2017
50008241,HEALTHY BITE,MANHATTAN,,American,02/27/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25.0,,Cycle Inspection / Initial Inspection,2018
40803444,MANOR HOUSE RESTAURANT,STATEN ISLAND,10314.0,Italian,05/11/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,17.0,B,Cycle Inspection / Re-inspection,2016
50016172,KENNEDY FRIED CHICKEN,BRONX,10467.0,Chicken,06/06/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,27.0,,Cycle Inspection / Initial Inspection,2016
41686200,CINNABON/STRAWBERRY ICE COLD,BROOKLYN,11234.0,Bakery,10/06/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,22.0,,Cycle Inspection / Initial Inspection,2015
50005071,THE PIZZA BLOCK,BRONX,10471.0,Jewish/Kosher,07/26/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,10.0,A,Cycle Inspection / Initial Inspection,2017
40369619,MUDVILLE SALOON,MANHATTAN,10007.0,American,02/05/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,18.0,,Cycle Inspection / Initial Inspection,2018
50043594,BURRITO BOWL GRILL,BROOKLYN,11217.0,Asian,01/17/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,5.0,A,Cycle Inspection / Initial Inspection,2017
41609237,F.L.H. SEAFOOD RESTAURANT,BROOKLYN,11214.0,Asian,01/19/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,23.0,B,Cycle Inspection / Re-inspection,2016
41423288,MAPLE GARDEN,QUEENS,11355.0,Chinese,06/07/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23.0,,Cycle Inspection / Initial Inspection,2018
50008181,PASTEUR GRILL & NOODLES,MANHATTAN,10013.0,Vietnamese/Cambodian/Malaysia,05/10/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,58.0,,Cycle Inspection / Initial Inspection,2016
50060084,NOODLE VILLAGE,MANHATTAN,10013.0,Chinese,02/17/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,Pre-permit (Operational) / Initial Inspection,2017
41187577,HANSOL NUTRITION CENTER,QUEENS,11358.0,Korean,12/04/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21.0,Z,Cycle Inspection / Re-inspection,2018
41478974,BIG DADDY'S,MANHATTAN,10024.0,American,10/29/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,24.0,,Cycle Inspection / Initial Inspection,2018
