year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population,_art_year
1993,WV,Tucker County,rural,South,South Atlantic,Female,2481.0,0.0,1993
1973,LA,Bienville Parish,rural,South,West South Central,Black,3778.0,,1973
1977,NC,Dare County,rural,South,South Atlantic,Total,7515.0,3.875,1977
2000,MT,Big Horn County,rural,West,Mountain,Asian,15.0,,2000
1996,TX,Sutton County,rural,South,West South Central,Latino,1321.0,,1996
1994,MN,Watonwan County,rural,Midwest,West North Central,Asian,30.0,,1994
1993,MN,Renville County,rural,Midwest,West North Central,Asian,11.0,,1993
1989,IN,Lawrence County,rural,Midwest,East North Central,Male,13556.0,21.8,1989
1978,CA,Santa Clara County,urban,West,Pacific,White,782649.0,,1978
2001,NE,Gosper County,rural,Midwest,West North Central,Black,0.0,,2001
1988,MO,Barton County,rural,Midwest,West North Central,Native American,,,1988
2011,KS,Riley County,small/mid,Midwest,West North Central,White,44668.0,,2011
1985,OK,Alfalfa County,rural,South,West South Central,Male,2326.0,2.3,1985
1976,NC,Bertie County,rural,South,South Atlantic,Total,12924.0,5.0,1976
1996,AL,Coosa County,rural,South,East South Central,White,5004.0,,1996
1996,NY,Allegany County,rural,Northeast,Middle Atlantic,White,32227.0,,1996
2015,SD,Perkins County,rural,Midwest,West North Central,White,1731.0,,2015
1999,TX,Shackelford County,rural,South,West South Central,White,1861.0,,1999
1973,TX,San Saba County,rural,South,West South Central,Native American,,,1973
1983,PA,Sullivan County,rural,Northeast,Middle Atlantic,Asian,,,1983
1985,GA,Troup County,rural,South,South Atlantic,White,23843.0,,1985
1997,AL,Limestone County,small/mid,South,East South Central,Total,42488.0,73.0,1997
2012,WI,Douglas County,small/mid,Midwest,West North Central,Female,14719.0,0.0,2012
1974,TN,Hawkins County,small/mid,South,East South Central,Female,12064.0,0.0,1974
1983,KY,Clark County,small/mid,South,East South Central,White,17683.0,,1983
2016,VT,Washington County,rural,Northeast,New England,Native American,156.0,,2016
2004,WY,Sublette County,rural,West,Mountain,Female,2306.0,0.0,2004
2011,KY,Carroll County,rural,South,East South Central,Native American,20.0,,2011
1972,OK,Kay County,rural,South,West South Central,Latino,,,1972
2013,OK,Delaware County,rural,South,West South Central,Other,,,2013
