year,state,county_name,urbanicity,region,division,pop_category,population,pretrial_population,_art_year
1985,MN,Yellow Medicine County,rural,Midwest,West North Central,Male,3803.0,0.0,1985
1976,WY,Carbon County,rural,West,Mountain,White,10954.0,,1976
1996,WA,Whitman County,rural,West,Pacific,Native American,223.0,,1996
2014,SD,Jones County,rural,Midwest,West North Central,Asian,5.0,,2014
2006,CO,Pueblo County,small/mid,West,Mountain,Black,1836.0,,2006
1995,NE,Cedar County,rural,Midwest,West North Central,Female,2659.0,0.0,1995
2002,NY,Clinton County,rural,Northeast,Middle Atlantic,White,51410.0,,2002
2003,KY,Lawrence County,rural,South,East South Central,Total,10419.0,22.5581,2003
2009,NC,Cherokee County,rural,South,South Atlantic,White,15851.0,,2009
1981,MD,Allegany County,small/mid,South,South Atlantic,Total,52578.0,15.69231,1981
1982,NH,Hillsborough County,small/mid,Northeast,New England,Male,94805.0,19.28572,1982
1994,NE,Kimball County,rural,Midwest,West North Central,Asian,0.0,,1994
2005,PA,McKean County,rural,Northeast,Middle Atlantic,Native American,85.0,,2005
2000,TX,Swisher County,rural,South,West South Central,Native American,22.0,,2000
1994,UT,Kane County,rural,West,Middle Atlantic,White,3205.0,,1994
2005,AR,Baxter County,rural,South,West South Central,Total,23288.0,22.0,2005
1972,GA,Pierce County,rural,South,South Atlantic,White,4962.0,,1972
2010,CO,Lincoln County,rural,West,Mountain,Total,3668.0,13.85714,2010
1997,AR,Nevada County,rural,South,West South Central,Asian,0.0,,1997
1973,SD,Turner County,small/mid,Midwest,West North Central,Female,2662.0,0.0,1973
2005,OH,Auglaize County,rural,Midwest,East North Central,White,28910.0,,2005
1973,NY,Chautauqua County,rural,Northeast,Middle Atlantic,Latino,,,1973
2016,MN,Olmsted County,small/mid,Midwest,West North Central,White,80950.0,,2016
1984,NM,Los Alamos County,rural,West,Mountain,Latino,,,1984
1973,KS,Wallace County,rural,Midwest,West North Central,Other,8.0,,1973
2003,GA,Hancock County,rural,South,South Atlantic,White,1521.0,,2003
1981,LA,Orleans Parish,urban,South,West South Central,Other,4974.0,,1981
2001,GA,Newton County,suburban,South,South Atlantic,Asian,452.0,,2001
1978,LA,Sabine Parish,rural,South,West South Central,Asian,,,1978
1987,GA,Jefferson County,rural,South,South Atlantic,Male,5089.0,15.0,1987
1989,KY,Marshall County,rural,South,East South Central,Black,10.0,,1989
1984,GA,Wilkinson County,rural,South,South Atlantic,Latino,,,1984
2006,ID,Camas County,rural,West,Mountain,Black,1.0,,2006
2015,TN,Weakley County,rural,South,East South Central,Female,11401.0,6.0,2015
2008,MO,Dallas County,small/mid,Midwest,West North Central,Female,5346.0,8.0,2008
1980,OH,Sandusky County,rural,Midwest,East North Central,White,39463.0,,1980
2012,TN,Greene County,rural,South,East South Central,Total,45019.0,215.0,2012
1979,VA,King William County,suburban,South,South Atlantic,Latino,,,1979
1973,KY,Mason County,rural,South,East South Central,White,9778.0,,1973
1993,NY,Schuyler County,rural,Northeast,Middle Atlantic,Female,5863.0,0.0,1993
1999,OK,Cimarron County,rural,South,West South Central,Asian,3.0,,1999
2009,MO,Crawford County,rural,Midwest,West North Central,Latino,233.0,,2009
1987,VA,Waynesboro city,small/mid,South,South Atlantic,Latino,,,1987
2011,KS,Graham County,rural,Midwest,West North Central,Black,67.0,,2011
1997,IA,Sac County,rural,Midwest,West North Central,Total,6837.0,3.026114,1997
1981,NJ,Middlesex County,suburban,Northeast,Middle Atlantic,Native American,,,1981
2006,TN,Jackson County,rural,South,East South Central,Female,3743.0,6.0,2006
2000,AL,Houston County,small/mid,South,East South Central,White,42476.0,,2000
1997,GA,Echols County,small/mid,South,South Atlantic,White,1680.0,,1997
1975,SC,York County,suburban,South,South Atlantic,Asian,,,1975
2005,TX,Presidio County,rural,South,West South Central,Latino,3767.0,,2005
2016,NC,Davidson County,small/mid,South,South Atlantic,White,86519.0,,2016
2005,NY,Herkimer County,small/mid,Northeast,Middle Atlantic,Male,20755.0,40.0,2005
2003,CO,Gilpin County,suburban,West,Mountain,Asian,36.0,,2003
1992,KS,Jewell County,rural,Midwest,West North Central,Total,2251.0,2.636364,1992
2005,GA,Schley County,rural,South,South Atlantic,Asian,12.0,,2005
1992,AR,Izard County,rural,South,West South Central,Male,3437.0,3.0,1992
2000,NE,Loup County,rural,Midwest,West North Central,Other,,,2000
1995,NC,Cumberland County,small/mid,South,South Atlantic,Male,104133.0,234.5,1995
2002,UT,Morgan County,small/mid,West,Middle Atlantic,Asian,9.0,,2002
2009,IL,Macoupin County,suburban,Midwest,East North Central,Latino,259.0,,2009
1996,WA,Klickitat County,rural,West,Pacific,Other,,,1996
2010,TX,Randall County,small/mid,South,West South Central,Native American,486.0,,2010
1994,MS,Bolivar County,rural,South,East South Central,Total,26038.0,40.09091,1994
1983,MS,Tunica County,suburban,South,East South Central,Black,3537.0,,1983
1989,KS,Haskell County,rural,Midwest,West North Central,Total,2448.0,3.363636,1989
2009,NE,Loup County,rural,Midwest,West North Central,Other,,,2009
1994,MS,Hancock County,small/mid,South,East South Central,Asian,151.0,,1994
1989,ME,Cumberland County,small/mid,Northeast,New England,Female,83040.0,3.0,1989
1989,NE,Blaine County,rural,Midwest,West North Central,Male,229.0,0.0,1989
1977,ME,Aroostook County,rural,Northeast,New England,Asian,,,1977
1978,NC,Transylvania County,rural,South,South Atlantic,Latino,,,1978
1978,WI,Polk County,rural,Midwest,West North Central,Black,20.0,,1978
2004,GA,Cook County,rural,South,South Atlantic,Male,5151.0,96.0,2004
1998,WV,Randolph County,rural,South,South Atlantic,Female,9037.0,0.0,1998
2014,GA,Muscogee County,small/mid,South,South Atlantic,Male,69447.0,791.0,2014
2014,GA,Wilkinson County,rural,South,South Atlantic,Other,,,2014
2002,MO,Mercer County,rural,Midwest,West North Central,Asian,0.0,,2002
1994,KY,Anderson County,rural,South,East South Central,Latino,45.0,,1994
1973,GA,Butts County,suburban,South,South Atlantic,Other,13.0,,1973
1970,VA,Emporia city,rural,South,South Atlantic,Latino,,,1970
2007,WI,Langlade County,rural,Midwest,West North Central,Latino,147.0,,2007
1981,GA,Burke County,small/mid,South,South Atlantic,Latino,,,1981
2002,NE,Thomas County,rural,Midwest,West North Central,Latino,6.0,,2002
1998,TX,Harrison County,rural,South,West South Central,Black,9495.0,,1998
1977,FL,St. Lucie County,small/mid,South,South Atlantic,Total,45312.0,59.0,1977
1973,KY,Henry County,suburban,South,East South Central,White,6374.0,,1973
1978,CO,Eagle County,rural,West,Mountain,White,9247.0,,1978
2006,NE,Webster County,rural,Midwest,West North Central,Black,15.0,,2006
2015,NV,Carson City,small/mid,West,Mountain,Latino,8028.0,,2015
1990,MO,Gasconade County,rural,Midwest,West North Central,Total,8184.0,0.0,1990
1994,VA,Buchanan County,rural,South,South Atlantic,Native American,6.0,,1994
2003,OH,Washington County,rural,Midwest,East North Central,Black,473.0,,2003
1989,TN,Decatur County,rural,South,East South Central,Native American,,,1989
1976,TX,Karnes County,rural,South,West South Central,Other,21.0,,1976
2005,KS,Woodson County,rural,Midwest,West North Central,Native American,13.0,,2005
1998,TX,Ochiltree County,rural,South,West South Central,Other,,,1998
1992,MT,Treasure County,rural,West,Mountain,Native American,0.0,,1992
2004,IN,Union County,suburban,Midwest,East North Central,Other,,,2004
2010,NC,Davidson County,small/mid,South,South Atlantic,Other,,,2010
1994,MT,Big Horn County,rural,West,Mountain,Total,7226.0,10.0,1994
2013,PA,Greene County,rural,Northeast,Middle Atlantic,Native American,43.0,,2013
1983,GA,Miller County,rural,South,South Atlantic,Female,2161.0,1.742857,1983
2012,ND,Bowman County,rural,Midwest,West North Central,Male,983.0,1.281611,2012
1996,VA,Washington County,small/mid,South,South Atlantic,Female,16909.0,44.94868,1996
2003,TN,Anderson County,small/mid,South,East South Central,Female,23619.0,20.0,2003
1978,CA,Colusa County,rural,West,Pacific,Female,3967.0,0.0,1978
1999,OK,Haskell County,rural,South,West South Central,Total,7175.0,13.0,1999
2009,VA,Surry County,rural,South,South Atlantic,Other,,,2009
1980,FL,Putnam County,rural,South,South Atlantic,Total,31553.0,42.2,1980
2013,GA,Wilkes County,rural,South,South Atlantic,Latino,245.0,,2013
2000,ID,Cassia County,rural,West,Mountain,Black,13.0,,2000
2003,MI,Ionia County,rural,Midwest,East North Central,Male,24828.0,24.0,2003
2012,AL,Coosa County,rural,South,East South Central,Male,3983.0,43.0,2012
2008,TX,Kent County,rural,South,West South Central,White,388.0,,2008
1987,UT,Wayne County,rural,West,Middle Atlantic,White,1132.0,,1987
1985,OK,Pittsburg County,rural,South,West South Central,Black,1066.0,,1985
2011,MN,Redwood County,rural,Midwest,West North Central,Asian,309.0,,2011
2008,MN,Isanti County,suburban,Midwest,West North Central,Asian,214.0,,2008
1976,NE,Lancaster County,small/mid,Midwest,West North Central,Black,2136.0,,1976
2016,TX,Atascosa County,suburban,South,West South Central,Total,30531.0,,2016
2010,MI,St. Clair County,suburban,Midwest,East North Central,White,101354.0,,2010
1999,MI,Luce County,rural,Midwest,East North Central,Asian,22.0,,1999
2005,PA,Fayette County,suburban,Northeast,Middle Atlantic,Asian,307.0,,2005
1997,NC,Montgomery County,rural,South,South Atlantic,Black,3820.0,,1997
2007,MT,Madison County,rural,West,Mountain,Asian,15.0,,2007
1982,WI,Langlade County,rural,Midwest,West North Central,Black,1.0,,1982
1983,ID,Valley County,rural,West,Mountain,Male,2177.0,4.0,1983
2004,SC,Hampton County,rural,South,South Atlantic,Native American,38.0,,2004
1990,SC,McCormick County,rural,South,South Atlantic,Black,3527.0,,1990
1974,MA,Barnstable County,small/mid,Northeast,New England,Latino,,,1974
1973,OK,Washington County,rural,South,West South Central,Latino,,,1973
1996,OR,Lane County,small/mid,West,Pacific,Male,103979.0,261.5,1996
1992,OK,Dewey County,rural,South,West South Central,Latino,37.0,,1992
1991,NM,Mora County,rural,West,Mountain,Other,,,1991
1994,TX,Coryell County,small/mid,South,West South Central,Female,22463.0,3.666667,1994
2001,IL,Kankakee County,small/mid,Midwest,East North Central,Male,33346.0,156.0,2001
1982,TX,Stonewall County,rural,South,West South Central,White,1370.0,,1982
2008,TX,San Saba County,rural,South,West South Central,Total,3841.0,1.0,2008
1973,NE,Cedar County,rural,Midwest,West North Central,Other,11.0,,1973
1999,OH,Warren County,suburban,Midwest,East North Central,Other,,,1999
2012,MO,Oregon County,rural,Midwest,West North Central,Male,3426.0,3.0,2012
1992,KS,Kearny County,rural,Midwest,West North Central,Other,,,1992
1986,KS,Chautauqua County,rural,Midwest,West North Central,Other,86.0,,1986
2012,MI,Kent County,urban,Midwest,East North Central,White,319139.0,,2012
1995,GA,Randolph County,rural,South,South Atlantic,White,2020.0,,1995
1981,AL,Sumter County,rural,South,East South Central,Total,9933.0,12.0,1981
2016,SD,Hanson County,rural,Midwest,West North Central,Female,999.0,,2016
1977,NY,Oswego County,small/mid,Northeast,Middle Atlantic,Female,37041.0,0.0,1977
1972,MO,St. Louis city,urban,Midwest,West North Central,Black,138437.0,,1972
1974,MS,Neshoba County,rural,South,East South Central,Latino,,,1974
1989,OR,Wallowa County,rural,West,Pacific,Black,3.0,,1989
1970,GA,McDuffie County,small/mid,South,South Atlantic,Male,4338.0,10.0,1970
1972,KY,Boyd County,small/mid,South,East South Central,White,32820.0,,1972
2014,WI,Waushara County,rural,Midwest,West North Central,White,13714.0,,2014
1970,SD,Pennington County,small/mid,Midwest,West North Central,Total,36535.0,32.0,1970
1975,LA,Calcasieu Parish,small/mid,South,West South Central,Other,278.0,,1975
1977,GA,Effingham County,small/mid,South,South Atlantic,White,8516.0,,1977
2013,OK,Ellis County,rural,South,West South Central,Female,1197.0,0.0,2013
1990,CO,Montezuma County,rural,West,Mountain,Female,5838.0,4.2,1990
2005,SD,Corson County,rural,Midwest,West North Central,Female,1223.0,0.0,2005
2015,IN,Vigo County,small/mid,Midwest,East North Central,Female,34999.0,20.0,2015
1979,NE,Lancaster County,small/mid,Midwest,West North Central,Total,131363.0,65.0,1979
1972,TX,Erath County,rural,South,West South Central,Male,5756.0,3.0,1972
1985,TX,Deaf Smith County,rural,South,West South Central,Male,5989.0,17.6,1985
1980,KY,Greenup County,small/mid,South,East South Central,Latino,,,1980
1988,SD,Moody County,rural,Midwest,West North Central,Other,293.0,,1988
2005,IA,Greene County,rural,Midwest,West North Central,Other,,,2005
2010,KY,Breathitt County,rural,South,East South Central,Asian,64.0,,2010
1983,OK,Grady County,suburban,South,West South Central,White,26497.0,,1983
1974,GA,Atkinson County,rural,South,South Atlantic,White,2567.0,,1974
1973,OK,Coal County,rural,South,West South Central,Black,29.0,,1973
1996,WA,Kittitas County,rural,West,Pacific,Asian,625.0,,1996
2006,MO,Marion County,rural,Midwest,West North Central,Total,18335.0,92.125,2006
1988,SC,Sumter County,small/mid,South,South Atlantic,Female,32438.0,7.0,1988
1971,GA,Early County,rural,South,South Atlantic,White,4266.0,,1971
1994,NH,Carroll County,rural,Northeast,New England,White,23448.0,,1994
2015,NC,Pender County,small/mid,South,South Atlantic,Black,6112.0,,2015
2016,MD,Frederick County,suburban,South,South Atlantic,Female,83143.0,,2016
2007,KY,Bath County,rural,South,East South Central,Latino,83.0,,2007
2002,GA,Jackson County,rural,South,South Atlantic,Female,14893.0,15.5,2002
1973,TN,Humphreys County,rural,South,East South Central,Total,8858.0,11.375,1973
2006,OK,Harper County,rural,South,West South Central,Other,,,2006
1994,NY,Montgomery County,rural,Northeast,Middle Atlantic,Female,15541.0,3.0,1994
2013,TN,Madison County,small/mid,South,East South Central,Black,25067.0,,2013
1970,NC,Hertford County,rural,South,South Atlantic,Other,22.0,,1970
1985,LA,St. Martin Parish,small/mid,South,West South Central,White,19491.0,,1985
1973,OH,Erie County,rural,Midwest,East North Central,Male,23824.0,16.875,1973
1994,ND,Richland County,rural,Midwest,West North Central,Native American,178.0,,1994
1989,OK,Major County,rural,South,West South Central,Other,85.0,,1989
1979,WI,Outagamie County,small/mid,Midwest,West North Central,White,80320.0,,1979
2002,OH,Harrison County,rural,Midwest,East North Central,Latino,29.0,,2002
1987,PA,Lehigh County,small/mid,Northeast,Middle Atlantic,Other,2248.0,,1987
1992,MT,Broadwater County,rural,West,Mountain,Male,1100.0,0.8409407,1992
2001,SD,Jackson County,rural,Midwest,West North Central,Native American,800.0,,2001
2012,MS,Clarke County,rural,South,East South Central,Total,10531.0,23.0,2012
2016,OK,Garvin County,rural,South,West South Central,Asian,105.0,,2016
1994,PA,Huntingdon County,rural,Northeast,Middle Atlantic,Male,16408.0,14.83333,1994
2003,MO,Polk County,small/mid,Midwest,West North Central,Latino,269.0,,2003
2001,IA,Benton County,small/mid,Midwest,West North Central,Other,,,2001
2014,KS,Pottawatomie County,small/mid,Midwest,West North Central,Male,7157.0,7.0,2014
1976,VA,Virginia Beach city,urban,South,South Atlantic,Black,14308.0,,1976
1975,NY,Genesee County,rural,Northeast,Middle Atlantic,Total,37598.0,8.125,1975
1975,NM,Harding County,rural,West,Mountain,Latino,,,1975
2011,AL,Escambia County,rural,South,East South Central,Asian,79.0,,2011
1989,AR,Union County,rural,South,West South Central,Female,14641.0,3.0,1989
2002,VA,Botetourt County,small/mid,South,South Atlantic,Asian,108.0,,2002
1989,FL,Bradford County,rural,South,South Atlantic,Male,8888.0,21.2,1989
1983,NC,Bertie County,rural,South,South Atlantic,Native American,,,1983
1994,TX,Donley County,rural,South,West South Central,Male,1084.0,4.636364,1994
1974,TX,Hood County,suburban,South,West South Central,Other,43.0,,1974
2004,OK,Dewey County,rural,South,West South Central,White,2595.0,,2004
2004,NM,McKinley County,rural,West,Mountain,Male,22037.0,20.0,2004
2005,TX,Wichita County,small/mid,South,West South Central,Black,9700.0,,2005
1997,LA,De Soto Parish,small/mid,South,West South Central,Latino,229.0,,1997
2015,IA,Johnson County,small/mid,Midwest,West North Central,White,84446.0,,2015
1972,SD,Kingsbury County,rural,Midwest,West North Central,Black,0.0,,1972
1987,NC,Swain County,rural,South,South Atlantic,Male,3494.0,10.0,1987
2006,OH,Preble County,rural,Midwest,East North Central,Black,126.0,,2006
2008,IA,Montgomery County,rural,Midwest,West North Central,White,6298.0,,2008
1997,TN,Overton County,rural,South,East South Central,Female,6353.0,0.0,1997
2003,IL,Jackson County,small/mid,Midwest,East North Central,Asian,1757.0,,2003
1970,ID,Kootenai County,small/mid,West,Mountain,Asian,,,1970
2010,TX,Zavala County,rural,South,West South Central,Native American,5.0,,2010
1981,UT,Utah County,small/mid,West,Middle Atlantic,Total,136813.0,14.8,1981
1990,WI,Forest County,rural,Midwest,West North Central,Black,116.0,,1990
1989,MN,Marshall County,rural,Midwest,West North Central,Other,40.0,,1989
2003,CA,Marin County,suburban,West,Pacific,Latino,21332.0,,2003
1980,CO,Douglas County,suburban,West,Mountain,White,16999.0,,1980
2005,AZ,Cochise County,small/mid,West,Mountain,Latino,24374.0,,2005
2012,MN,Mille Lacs County,suburban,Midwest,West North Central,Asian,71.0,,2012
2015,OK,Cleveland County,suburban,South,West South Central,Total,187557.0,351.0,2015
1994,VA,Henry County,rural,South,South Atlantic,White,29137.0,,1994
1980,WI,Grant County,rural,Midwest,West North Central,Native American,,,1980
1988,LA,Jackson Parish,rural,South,West South Central,Male,4680.0,20.0,1988
1989,NC,Harnett County,rural,South,South Atlantic,Asian,,,1989
2007,MO,Linn County,rural,Midwest,West North Central,Total,7825.0,0.0,2007
1991,TN,Sullivan County,small/mid,South,East South Central,White,95321.0,,1991
1998,SD,Buffalo County,rural,Midwest,West North Central,Total,1158.0,0.0,1998
2006,ND,Dunn County,rural,Midwest,West North Central,Native American,279.0,,2006
1973,IL,Vermilion County,small/mid,Midwest,East North Central,White,56776.0,,1973
1981,IL,Greene County,rural,Midwest,East North Central,Total,10153.0,2.615385,1981
1984,AR,Washington County,small/mid,South,West South Central,Total,71054.0,33.6,1984
1999,OK,Pittsburg County,rural,South,West South Central,Latino,533.0,,1999
2001,MD,Frederick County,suburban,South,South Atlantic,Female,68441.0,13.0,2001
1971,AZ,Greenlee County,rural,West,Mountain,Native American,,,1971
1982,GA,Montgomery County,rural,South,South Atlantic,Latino,,,1982
2013,TX,Eastland County,rural,South,West South Central,Black,307.0,,2013
2012,OH,Clinton County,rural,Midwest,East North Central,Male,13660.0,64.0,2012
2003,NY,Monroe County,urban,Northeast,Middle Atlantic,Latino,26983.0,,2003
1977,MI,Gogebic County,rural,Midwest,East North Central,Asian,,,1977
1982,NY,Franklin County,rural,Northeast,Middle Atlantic,Black,437.0,,1982
1993,MI,Newaygo County,rural,Midwest,East North Central,Latino,653.0,,1993
1993,KS,Leavenworth County,suburban,Midwest,West North Central,Female,19574.0,7.0,1993
1979,MT,Hill County,rural,West,Mountain,Asian,,,1979
1992,KS,Jewell County,rural,Midwest,West North Central,Black,0.0,,1992
1971,NC,Brunswick County,small/mid,South,South Atlantic,White,11557.0,,1971
2005,WI,Barron County,rural,Midwest,West North Central,Female,14503.0,10.0,2005
2009,TN,Lincoln County,rural,South,East South Central,Black,1485.0,,2009
1988,MD,Carroll County,suburban,South,South Atlantic,Latino,,,1988
2006,MO,Boone County,small/mid,Midwest,West North Central,Latino,2829.0,,2006
1983,VT,Bennington County,rural,Northeast,New England,Total,21930.0,,1983
2015,PA,Greene County,rural,Northeast,Middle Atlantic,Asian,94.0,,2015
1995,GA,Meriwether County,suburban,South,South Atlantic,Female,7325.0,1.666667,1995
2011,UT,Salt Lake County,urban,West,Middle Atlantic,Other,,,2011
1995,MO,Boone County,small/mid,Midwest,West North Central,Asian,3040.0,,1995
1998,AZ,Greenlee County,rural,West,Mountain,Latino,2290.0,,1998
2010,WI,Fond du Lac County,small/mid,Midwest,West North Central,White,62667.0,,2010
1991,NY,Niagara County,suburban,Northeast,Middle Atlantic,Male,68608.0,96.0,1991
1993,NY,Wyoming County,rural,Northeast,Middle Atlantic,Asian,77.0,,1993
1995,MA,Franklin County,rural,Northeast,New England,Native American,157.0,,1995
1981,CA,Siskiyou County,rural,West,Pacific,Other,1108.0,,1981
1972,KS,Coffey County,rural,Midwest,West North Central,Latino,,,1972
2015,NC,Rockingham County,small/mid,South,South Atlantic,Total,59194.0,107.0,2015
1998,FL,Glades County,rural,South,South Atlantic,Native American,277.0,,1998
1984,UT,Uintah County,rural,West,Middle Atlantic,Black,3.0,,1984
1974,SD,Clay County,rural,Midwest,West North Central,White,9173.0,,1974
1992,IN,Parke County,rural,Midwest,East North Central,Total,10114.0,17.8,1992
1991,KY,Martin County,rural,South,East South Central,Total,8395.0,4.493116,1991
1970,NE,Dawes County,rural,Midwest,West North Central,Male,3216.0,0.0,1970
2006,KS,Jewell County,rural,Midwest,West North Central,Latino,25.0,,2006
1981,VA,York County,suburban,South,South Atlantic,White,20138.0,,1981
2013,MO,Gentry County,rural,Midwest,West North Central,Female,2028.0,0.8602174,2013
1982,OH,Madison County,suburban,Midwest,East North Central,Asian,,,1982
2013,MN,Roseau County,rural,Midwest,West North Central,Black,50.0,,2013
1984,OK,Blaine County,rural,South,West South Central,Total,8224.0,7.0,1984
1974,FL,Lafayette County,rural,South,South Atlantic,Black,154.0,,1974
1977,NY,Westchester County,suburban,Northeast,Middle Atlantic,Black,64866.0,,1977
1975,KS,Jewell County,rural,Midwest,West North Central,Latino,,,1975
2008,PA,Mifflin County,rural,Northeast,Middle Atlantic,Latino,258.0,,2008
1993,PA,Armstrong County,suburban,Northeast,Middle Atlantic,Black,358.0,,1993
2016,OH,Brown County,suburban,Midwest,East North Central,Total,27905.0,,2016
2013,CO,Boulder County,small/mid,West,Mountain,Latino,26845.0,,2013
2004,KY,McLean County,small/mid,South,East South Central,Other,,,2004
2014,NC,Dare County,rural,South,South Atlantic,Native American,78.0,,2014
2007,NC,Halifax County,rural,South,South Atlantic,White,14305.0,,2007
2012,TN,Polk County,small/mid,South,East South Central,Black,69.0,,2012
2013,GA,Ware County,rural,South,South Atlantic,Asian,252.0,,2013
1974,VA,Floyd County,small/mid,South,South Atlantic,Latino,,,1974
2007,MS,Lafayette County,rural,South,East South Central,Black,7608.0,,2007
1979,MN,Sibley County,suburban,Midwest,West North Central,Male,4630.0,1.5,1979
1978,SD,Ziebach County,rural,Midwest,West North Central,Female,595.0,0.0,1978
1987,TX,La Salle County,rural,South,West South Central,Asian,,,1987
1991,MT,Teton County,rural,West,Mountain,Asian,1.0,,1991
2008,AL,Dale County,rural,South,East South Central,Total,32627.0,45.375,2008
1990,IL,Pope County,rural,Midwest,East North Central,Latino,24.0,,1990
2010,UT,Carbon County,rural,West,Middle Atlantic,Latino,1573.0,,2010
1977,OH,Auglaize County,rural,Midwest,East North Central,Other,29.0,,1977
2000,NC,Rockingham County,small/mid,South,South Atlantic,Native American,170.0,,2000
1976,IN,LaPorte County,small/mid,Midwest,East North Central,Latino,,,1976
1974,KS,Haskell County,rural,Midwest,West North Central,Asian,,,1974
1987,VA,Prince William County,suburban,South,South Atlantic,Asian,,,1987
1976,SD,Perkins County,rural,Midwest,West North Central,Male,1540.0,0.0,1976
1975,GA,Harris County,small/mid,South,South Atlantic,Total,8323.0,0.0,1975
2011,TN,Washington County,small/mid,South,East South Central,Black,3668.0,,2011
1971,GA,Bartow County,suburban,South,South Atlantic,Male,10305.0,21.125,1971
1971,CA,Imperial County,small/mid,West,Pacific,White,41021.0,,1971
1980,NC,Greene County,rural,South,South Atlantic,Total,10574.0,1.4,1980
1972,TX,Lynn County,small/mid,South,West South Central,Latino,,,1972
1986,MS,Amite County,rural,South,East South Central,Black,3543.0,,1986
1981,MI,Roscommon County,rural,Midwest,East North Central,Asian,,,1981
1983,IA,Dubuque County,small/mid,Midwest,West North Central,Asian,,,1983
1997,NE,Wheeler County,rural,Midwest,West North Central,White,552.0,,1997
2013,KS,Cloud County,rural,Midwest,West North Central,Other,,,2013
1970,SD,Butte County,rural,Midwest,West North Central,Male,2283.0,1.0,1970
2010,FL,Jackson County,rural,South,South Atlantic,Native American,249.0,,2010
1970,OK,Woods County,rural,South,West South Central,Asian,,,1970
1986,PA,Bedford County,rural,Northeast,Middle Atlantic,Latino,,,1986
1973,FL,Marion County,small/mid,South,South Atlantic,Asian,,,1973
1999,WA,Clark County,suburban,West,Pacific,White,200567.0,,1999
1976,TX,Navarro County,rural,South,West South Central,Asian,,,1976
2001,AR,Jefferson County,small/mid,South,West South Central,Male,27641.0,67.0,2001
1983,CA,Alpine County,rural,West,Pacific,Asian,,,1983
1992,MN,Winona County,rural,Midwest,West North Central,Asian,433.0,,1992
2001,ND,Bowman County,rural,Midwest,West North Central,Female,911.0,0.1682588,2001
2014,OH,Crawford County,rural,Midwest,East North Central,Male,13299.0,14.0,2014
2004,NC,Columbus County,rural,South,South Atlantic,Latino,1067.0,,2004
1971,AK,Skagway Municipality,rural,West,Pacific,Total,1301.0,,1971
2005,MN,Otter Tail County,rural,Midwest,West North Central,Black,208.0,,2005
1978,ID,Lemhi County,rural,West,Mountain,White,4300.0,,1978
1988,MN,Kittson County,rural,Midwest,West North Central,Asian,,,1988
1977,VA,Wise County,rural,South,South Atlantic,Other,69.0,,1977
1987,GA,Thomas County,rural,South,South Atlantic,White,15628.0,,1987
1978,NE,Thurston County,rural,Midwest,West North Central,Male,2184.0,2.0,1978
2007,KS,Leavenworth County,suburban,Midwest,West North Central,Latino,2601.0,,2007
1972,NV,White Pine County,rural,West,Mountain,Total,6269.0,3.0,1972
1981,MN,Pine County,rural,Midwest,West North Central,White,11785.0,,1981
1986,TN,Wilson County,suburban,South,East South Central,White,38579.0,,1986
1986,MO,Reynolds County,rural,Midwest,West North Central,Total,4175.0,2.8,1986
1998,FL,Levy County,rural,South,South Atlantic,Native American,85.0,,1998
1985,FL,Gulf County,small/mid,South,South Atlantic,Asian,,,1985
2003,WI,Juneau County,rural,Midwest,West North Central,Other,,,2003
1985,FL,Franklin County,rural,South,South Atlantic,Total,5315.0,6.8,1985
2013,ME,Somerset County,rural,Northeast,New England,Total,34209.0,54.0,2013
2013,WY,Crook County,rural,West,Mountain,Asian,7.0,,2013
1983,GA,Franklin County,rural,South,South Atlantic,Asian,,,1983
1998,TX,El Paso County,small/mid,South,West South Central,Total,428118.0,1168.0,1998
1982,ID,Benewah County,rural,West,Mountain,Total,5207.0,1.8,1982
1997,VA,Manassas city,suburban,South,South Atlantic,White,16579.0,,1997
1987,IN,Starke County,rural,Midwest,East North Central,Latino,,,1987
1973,CA,El Dorado County,suburban,West,Pacific,Total,34916.0,44.375,1973
1970,WA,Garfield County,rural,West,Pacific,Black,0.0,,1970
1985,SD,Sully County,rural,Midwest,West North Central,Black,0.0,,1985
2014,TX,Ector County,small/mid,South,West South Central,Male,49467.0,379.0,2014
1982,IL,Alexander County,small/mid,Midwest,East North Central,White,5026.0,,1982
1997,NE,Merrick County,small/mid,Midwest,West North Central,Female,2477.0,0.0,1997
1979,NE,Pawnee County,rural,Midwest,West North Central,Other,2.0,,1979
1973,TX,Brooks County,rural,South,West South Central,Other,12.0,,1973
1975,OR,Marion County,small/mid,West,Pacific,Male,53419.0,37.875,1975
1989,CT,Tolland County,suburban,Northeast,New England,Latino,,,1989
2001,NY,Cattaraugus County,rural,Northeast,Middle Atlantic,Other,,,2001
2006,TX,Foard County,rural,South,West South Central,Latino,151.0,,2006
1994,IA,Mahaska County,rural,Midwest,West North Central,Male,6780.0,11.0,1994
1994,IN,Hancock County,suburban,Midwest,East North Central,White,32500.0,,1994
1998,UT,Cache County,small/mid,West,Middle Atlantic,White,54280.0,,1998
2003,ID,Ada County,small/mid,West,Mountain,Female,109450.0,67.5445,2003
1987,VA,Madison County,rural,South,South Atlantic,Asian,,,1987
2002,CA,Amador County,rural,West,Pacific,Other,,,2002
1988,LA,Franklin Parish,rural,South,West South Central,Native American,,,1988
1991,NE,Thomas County,rural,Midwest,West North Central,Black,0.0,,1991
